"ลำดับ","ชื่อชุดการแสดง","ผลการตัดคำ"
"38","กลองสะบัดชัย","เป็น | ศิลปะ | การตีกลอง | ของ | ชาว | ล้านนา | ทาง | ภาคเหนือ | ของ | ไทย |   | มี | ศิลปะ | การ | ตี |   | เพื่อ | สร้าง | ความ | ฮึกเหิม | ก่อน | ออกรบ | ทำสงคราม | กับ | ข้าศึก | ต่อมา | นิยม | ตี | กลอง | ใน | ขบวนแห่ | เกี่ยวกับ | พิธีทางศาสนา |   | ผู้ | ตี | กลองสะบัดชัย | จะ | ตี | ด้วย | ท่าทาง | คล่องแคล่ว | ว่องไว |   | โลดโผน | และ | สนุกสนาน |   | นอกจากนี้ | สามารถ | จัดแสดง | ใน | งาน | ต่าง ๆ |   | เพื่อ | ความ | เป็น | สิริมงคล"
"39","ฟ้อนจันทราพาฝัน","เป็น | ชุด | การ | ฟ้อน | ตาม | ท่วงทำนอง | และ | บทร้อง |   | ที่ | บรรยาย | ถึง | หญิงสาว | ชาวเหนือ | ผู้ | หลงใหล | ใฝ่ฝัน | ใน | ความงาม | ของ | แสงจันทร์ |   | โดย | มี | ลีลา | ท่า | ฟ้อน | อัน | อ่อนช้อย | งดงาม |   | ออกแบบ | ท่า | รำ | โดย | ท่านผู้หญิงแผ้ว สนิทวงศ์เสนี |   | ผู้เชี่ยวชาญ | นาฏศิลป์ไทย | และ | ศิลปินแห่งชาติ |   | ส่วน | บทร้อง | นั้น | ประพันธ์ | ร่วมกับ | นาย | ประพันธ์ สุคนธะชาติ |   | ใน | ทำนอง | เพลงลาวคำหอม"
"40","ฟ้อนเจิง","เป็น | ศิลปะ | การ | ฟ้อน | ของ | ชาว | ล้านนา | ทาง | ภาคเหนือ | ของ | ไทย |   | ที่ | แสดงถึง | ศิลปะ | การต่อสู้ |   | ประกอบ | ลีลา |   | ท่า | ฟ้อน | ที่ | สื่อ | ถึง | การต่อสู้ | ด้วย | มือเปล่า | หรือ | การต่อสู้ | ด้วย | อาวุธ |   | เช่น |   | หอก |   | ดาบ"
"41","ฟ้อนดวงเดือน","เป็น | การแสดง | ที่ | มี | ลักษณะ | การเกี้ยวพาราสี | ของ | ชายหนุ่ม | หญิงสาว |   | เพลง | ที่ | ใช้ | เป็น | เพลงอัตราจังหวะสองชั้น |   | สำเนียง | ลาว |   | ทรง | พระนิพนธ์ | คำร้อง | และ | ทำนอง | โดย | พระเจ้าบรมวงศ์เธอกรมหมื่นพิชัยมหินทโรดม"
"42","ฟ้อนที","ที |   | หมายถึง |   | ร่ม |   | เป็น | ภาษา |   | “ | ไต | ” |   | นำมาใช้ | เป็น | อุปกรณ์ | ประกอบ | ท่า | ฟ้อน | ผสม | กับ | ท่า | รำ | ของ | ชาว | ไต |   | จังหวัด | แม่ฮ่องสอน | ใน | ภาคเหนือ | ของ | ไทย |   | ลีลา | ท่า | รำ | เน้น | ศิลปะ | การ | ใช้ | ร่ม | ใน | ลักษณะ | ต่าง ๆ |   | ที่ | งดงาม |   | ตาม | ท่วงทำนอง | ดนตรีพื้นบ้าน | ภาคเหนือ"
"43","ฟ้อนเทียน","เป็นการ | ฟ้อน | แบบ | หนึ่ง | ทาง | ภาคเหนือ | ของ | ประเทศไทย |   | ผู้ | ฟ้อน | เป็น | หญิงสาว | ถือ | เทียน | จุดไฟ | ข้าง | ละ | หนึ่ง | เล่ม |   | ร่ายรำ | ไป | ตาม | ทำนองเพลง |   | นิยม | แสดง | ใน | เวลา | กลางคืน |   | เพื่อให้ | เห็น | การเคลื่อนไหว | ของ | เปลว | เทียน | ได้ | ชัดเจน"
"44","ฟ้อนผาง","เป็น | การแสดง | นาฏศิลป์ | พื้นบ้าน | ของ | ชาว | ล้านนา | ทาง | ภาคเหนือ | ของ | ไทย |   | ผู้แสดง | ออกมา | ร่ายรำ | พร้อม | ถือ | ภาชนะดินเผา | จุดไฟ | เรียก | ว่า | ผางประทีป | ทั้งสอง | มือ |   | นิยม | จัดแสดง | ใน | งาน | ประเพณี | สำคัญ | ของ | ชาว | ล้านนา | มา | แต่ | ครั้ง | โบราณ"
"45","ฟ้อนมาลัย","เป็น | เพลง | เก่า | ของ | ราชสำนัก | เชียงใหม่ |   | เจ้าดารารัศมี | พระชายา | ใน | พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว |   | ได้ | ทรง | นำมาใช้ | ใน | ละคร | เรื่อง |   | “ | น้อยใจยา | ” |   | เมื่อ | กรมศิลปากร | แสดง | ละครพันทาง | เรื่อง |   | “ | พญาผานอง | ” |   | ณ |   | โรงละครแห่งชาติ |   | เมื่อ |   | พ.ศ. |   | 2501 |   | อาจารย์ | มนตรี ตราโมท |   | ได้ | นำ | ทำนอง | เพลงฟ้อนดวงดอกไม้ | มา | ใช้ | เป็น | เพลง | ฟ้อน | ของ | นาง | ข้าหลวง | ของ | นางพญาคำปิน |   | โดย | ได้ | แต่ง | บทร้อง | ขึ้น | มา | ใหม่ |   | และ | ท่านผู้หญิงแผ้ว สนิทวงศ์เสนี |   | ประดิษฐ์ | ท่า | รำ | ฟ้อน | ชุด | นี้ | ออก | เพลงซุ้ม | ซึ่ง | เป็น | เพลงสำเนียงลาว | ชั้นเดียว"
"46","ฟ้อนรัก","เป็น | การแสดง | ชุด | หนึ่ง | ใน | ละครพันทาง | เรื่อง | พระลอ |   | ตอน |   | พระลอ | ลง | สวน |   | พระนิพนธ์ | ของ | พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์ |   | ที่ | ทรง | ปรับปรุง | ขึ้น | จาก | วรรณคดี | ลิลิตพระลอ |   | บทร้อง | และ | ลีลา | ท่า | รำ | แสดงถึง | ความรัก | ของ | นายแก้ว | นายขวัญ | สอง | พระพี่เลี้ยง | ของ | พระลอ | กษัตริย์ | แห่ง | แมนสรวง |   | กับ | นางรื่น | นางโรย | พระพี่เลี้ยง | ของ | พระเพื่อน | พระแพง |   | พระราชธิดา | ของ | ท้าวพิชัยพิษณุกร | แห่ง | เมือง | สรอง"
"47","ฟ้อนเล็บ","เป็น | ศิลปะ | การ | ฟ้อน | ของ | ทาง | ภาคเหนือ | ของ | ไทย |   | นิยม | จัดแสดง | ใน | การ | ต้อนรับแขก | ผู้มาเยือน | ให้ | เกิด | ความประทับใจ | ผู้แสดง | สวม | เล็บ | สีทอง | ร่ายรำ | ตาม | รูปแบบ | การ | ฟ้อน | ประกอบ | บทร้อง | และ | ทำนองเพลง"
"48","ฟ้อนสาวไหม","เป็น | ศิลปะ | การ | ฟ้อน | ของ | ทาง | ภาคเหนือ |   | มี | ลีลา | ท่า | รำ | สื่อ | ความ | หมายถึง | กรรมวิธี | การทอ | ผ้าไหม |   | เริ่ม | ด้วย | ขั้นตอน | การ | ปลูก | ต้น | หม่อน |   | เก็บ | ฝ้าย |   | สาว | ไหม |   | และ | ทอผ้า |   | มี | รูปแบบ | การฟ้อนรำ | ตาม | ทำนองเพลง | ใน | จังหวะ | ช้า |   | ใช้ | เครื่อง | ดนตรีพื้นบ้าน | ภาคเหนือ |   | เช่น |   | สะล้อ |   | ซอ |   | ซึง"
"49","ระบำเก็บใบชา","เป็น | การแสดง | ทาง | ภาคเหนือ | มี | ลีลา | ท่า | รำ | ที่ | สื่อ | ความ | หมายถึง | กรรมวิธี | การเก็บใบชา | ของ | ชาวเขา |   | เริ่ม | ตั้งแต่ | ช่วง | เช้า | ออกเดินทาง | ไป | เก็บ | ใบชา | ที่ | ปลูก | อยู่ | ตาม | ไหล่เขา |   | ต่อจากนั้น | นำมา | เลือก | ใบ | และ | ผึ่งแดด |   | มี | การละเล่น | ที่ | สนุกสนาน | รื่นเริง | ขณะ | รอ | ใบชา | แห้ง |   | ช่วง | เย็น | จึง | เก็บ | ใบชา | และ | เดินทาง | กลับบ้าน |   | ผู้แสดง | ชาย | หญิง | แต่งกาย | แบบ | ชาวพื้นเมือง | ภาคเหนือ | ของ | ไทย"
"50","กระทบสากหรือกระทบไม้","เป็น | การละเล่นพื้นเมือง | ของ | ชาว | จังหวัด | สุรินทร์ | ภาคอีสาน | ของ | ไทย |   | เดิม | เรียก | ว่า |   | “ | เต้นสาก | ” |   | ด้วย | นิสัย | รักสนุก | ของ | ชาวไทย | เมื่อ | เสร็จ | กิจวัตร | จาก | การ | ทำนา |   | จึง | นำ | สากตำข้าว | มา | กระทบ | กัน |   | เป็น | เครื่องประกอบจังหวะ | พร้อมกับ | มี | การละเล่น | ให้ | เข้ากับ | จังหวะ |   | เป็น | การแสดง | ที่ | สนุกสนาน | ระหว่าง | ชาย | หญิง | เกี้ยวพาราสี | กัน |   | สื่อ | ให้ | เห็น | ความงาม | ของ | พระจันทร์ | ยามค่ำคืน |   | ทำให้เกิด | ความเพลิดเพลิน | ใจ |   | ชาย | หญิง | จึง | ชวน | กัน | มา | เชื่อม | ความสัมพันธ์ | ด้วย | การ | เล่น | กระทบไม้"
"51","เซิ้งกระติบข้าว","เป็น | การแสดงพื้นเมือง | ของ | ชาวภูไท |   | นิยม | แสดง | กัน | ใน | โอกาส | รื่นเริง | วัน | นักขัตฤกษ์ |   | การแสดง | สื่อ | ถึง | หญิงสาว | นำ | อาหาร | ไป | ให้ | แก่ | บุคคล | อันเป็น | ที่รัก |   | ความสวยงาม | ของ | กระบวนท่ารำ | อยู่ | ที่ | กิริยาท่าทาง | การ | เดิน | ของ | หญิงสาว | ทั้ง | แบบ | ช้า | แล้ว | เร่งรีบ |   | การดีด | ข้าวเหนียว |   | การปั้น | ข้าวเหนียว"
"52","เซิ้งตังหวาย","เป็น | ศิลปะการแสดง | ที่ | ปรากฏ | ใน | วัฒนธรรม | สอง | ฝั่ง | แม่น้ำโขง | ระหว่าง | ไทย | และ | ลาว |   | โดย | เริ่มต้น | จาก | การขับ | ลำนำ | ประกอบ | ดนตรี |   | ต่อ | ด้วย | การฟ้อนรำ | ประกอบ | ทำนอง | ลำตังหวาย |   | เป็นที่นิยม | นำมา | ขับลำ | เพื่อ | ความบันเทิง | สอง | ฝั่ง | แม่น้ำโขง |   | และ | มี | การ | นำมา | สร้างสรรค์ | การขับร้อง | ประกอบ | การแสดง | อยู่ | เสมอ"
"53","เซิ้งไทภูเขา","ไทภูเขา |   | คือ |   | ชาวไทย | กลุ่ม | หนึ่ง | อาศัย | อยู่ | ตาม | แถบ | เทือกเขาภูพาน | การแสดง | ชุด | นี้ | สื่อ | ถึง | วิถีชีวิต | ของ | ชาวภูไท |   | ใน | การเดินทาง | ขึ้น | ภูเขา | เพื่อ | หา | วัตถุดิบ | มา | ประกอบอาหาร |   | เช่น |   | การ | ขุด | หน่อไม้ |   | เก็บ | ใบ | ย่านาง |   | เก็บ | เห็ด |   | ตัด | หวาย |   | เก็บ | ผัก |   | เมื่อ | เสร็จ | กิจกรรม | ก็ | กราบ | คารวะ | ขอขมา | ผีภู | หรือ | เจ้าที่เจ้าทาง | บน | ภูเขา"
"54","เซิ้งโปงลาง","เป็น | การแสดง | ของ | ชายหนุ่ม | หญิงสาว |   | หลัง | เสร็จสิ้น | ภาร | กิจการงาน | ก็ | จะ | มา | ร่วม | พบปะ | สังสรรค์ | รื่นเริง | และ | เกี้ยวพาราสี | กัน | เป็นที่ | สนุกสนาน | ใช้ | ผู้แสดง | ชาย | หญิง |   | มี | โปงลาง | เป็น | เครื่องดนตรี | หลัก | ใน | การ | ดำเนิน | ทำนอง"
"55","เซิ้งสวิง","เป็น | การแสดงพื้นเมือง | ของ | ภาคตะวันออกเฉียงเหนือ | ที่ | เกี่ยวกับ | อาชีพ | จับ | สัตว์น้ำ |   | มี | สวิง | เป็น | เครื่องมือ | ที่ | นำมา | ประกอบการ | เซิ้ง | เข้ากับ | ทำนอง | ดนตรี | ที่ | มี | จังหวะ | รุก | เร้า | สนุกสนาน |   | ใช้ | ผู้แสดง | ชาย | หญิง |   | ท่า | รำ | เลียนแบบ | ท่า | ทางธรรมชาติ | ใน | การออกไป | ประกอบอาชีพ | จับ | ปลา |   | ความสวยงาม | ของ | กระบวนท่ารำ | อยู่ | ที่ | ขั้นตอน | ใน | การจับปลา | ประดิษฐ์ | ให้ | มี | ความ | สนุกสนาน |   | หยอกล้อ | กัน | ระหว่าง | ชาย | หญิง"
"56","ฟ้อนภูไท","เป็น | การร่ายรำ | ของ | ชาวภูไท |   | ซึ่ง | มี | เชื้อ | สายสืบ | ต่อกัน | มา | ใน | ดินแดน | ลุ่ม | แม่น้ำโขง | และ | เทือกเขาภูพาน |   | อัน | ประกอบด้วย | จังหวัด | นครพนม |   | สกลนคร |   | กาฬสินธุ์ |   | มุกดาหาร |   | นิยม | ฟ้อน | ใน | โอกาส | รื่นเริง | ของ | วัน | นักขัตฤกษ์ |   | โดย | ผู้ | ฟ้อน | สวม | เล็บ | ที่ | ประดิษฐ์ | ขึ้น |   | ส่วน | ปลาย | ติด | พู่ | สีแดง |   | ก่อให้เกิด | ความสวยงาม | เมื่อ | เคลื่อนไหว | มือ"
"57","ฟ้อนภูไท 3 เผ่า","เป็น | การแสดง | ลีลา | การฟ้อนรำ | ของ | ชาวภูไท | ที่ | อาศัย |   | อยู่ | บน | เทือกเขาภูพาน |   | 3 |   | จังหวัด |   | คือ |   | กาฬสินธุ์ |   | สกลนคร |   | และ | นครพนม | ใช้ | ผู้แสดง | ชาย | หญิง |   | ประกอบด้วย | การแสดง | ฟ้อน | มวยโบราณ | ต่อสู้ | การแสดง | เชิงมวย |   | และ | การเกี้ยวพาราสี | ของ | ชาย | หญิง |   | ต่อมา | ใช้ | ผู้แสดง | หญิง | เท่านั้น"
"58","ฟ้อนหมากกั๊บแก๊บลำเพลิน","เป็น | การแสดง | ที่รวม | นาฏศิลป์พื้นบ้าน | สอง | ประเภท | เข้าด้วยกัน |   | คือ |   | หมากกั๊บแก๊บ |   | และ | ลำเพลิน |   | หมากกั๊บแก๊บ | คือ | เครื่องดนตรี | ประกอบ | จังหวะ | ของ | ภาคอีสาน |   | มี | สอง | ชนิด | คือ | ไม้สั้น |   | พื้นผิว | เรียบ | และ | ไม้ยาว | พื้นผิว | มี | ร่อง | ฟันปลา |   | เพื่อ | ขูด | กัน | ทำให้เกิด | เสียง |   | สามารถ | เล่น | ได้ | ทุก | โอกาส | ที่ | มี | การบรรเลง | ดนตรีพื้นบ้าน |   | ลำเพลิน | คือ | การขับร้อง | อีก | ประเภท | หนึ่ง | ของ | ชาว | อีสาน | เมื่อ | นำ | ทั้ง |   | 2 |   | ประเภท |   | มา | รวมกัน | จึง | เกิด | เป็น | การแสดง | นาฏศิลป์พื้นบ้าน | ของ | ชาว | อีสาน | ที่ | มี | ความ | สนุกสนาน |   | หยอกล้อ | กัน | ระหว่าง | ชาย | หญิง"
"59","กราววีรชัยยักษ์ ","เป็น | การแสดง | ของ | เสนา | ยักษ์ |   | กระบวนท่า | ทางการ | เต้น | ตาม | แบบ | การแสดง | โขน |   | ลีลา | ท่า | รำ | แสดงให้เห็น | พละกำลัง |   | ความพร้อมเพรียง |   | และ | ความสง่างาม |   | โดย | นำ | ท่าทาง | มาจาก | กระบวนการ | จัดทัพ | ตรวจ | พล |   | ของ | กองทัพ | ยักษ์ | ฝ่าย | ลงกา | จาก | เรื่อง | รามเกียรติ์"
"60","การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ ","กล่าวถึง | การ | ทำสงคราม | ระหว่าง | กองทัพ | ฝ่าย | พระราม | และ | ฝ่าย | ทศกัณฐ์ |   | แสดงถึง | กระบวน | การรบ | ระหว่าง | พระราม |   | พระลักษมณ์ |   | พร้อมด้วย | ไพร่ | พลวานร | กับ | ทศกัณฐ์ | เจ้า | กรุงลงกา |   | แสดงให้เห็น | ชั้นเชิง | และ | ลีลา | การรบ | ด้วย | อาวุธ |   | การ | ต่อตัว | ของ | ตัวละคร | หรือ | ที่ | เรียก | ว่า |   | “ | การขึ้นลอย | ”"
"61","การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน","หลังจากที่ | พระราม | ได้ | นำ | พลวานร | จาก | เมืองขีดขิน |   | และ | เมืองชมพู |   | ยกทัพ | มา | ตั้งอยู่ | ตรงข้าม | กับ | เกาะ | กรุงลงกา |   | พระราม | จึง | ปรึกษา | หา | วิธี | ที่จะ | ข้าม | ไป | ยัง | กรุงลงกา |   | ข้า | ทหาร | ทั้งหลาย | ต่าง | ทูล | อาสา | ต่าง ๆ |   | กัน | ไป |   | เช่น |   | เหาะ | ข้าม | ทะเล | ไป | ถึง | กรุงลงกา |   | โน้ม | พระเมรุ | บรรพต | ใช้ | เป็น | ทาง |   | วิดน้ำ | ใน | ทะเล | ให้ | แห้ง | ข้าม | ไป |   | ให้ | ลิง | ขยาย | ร่าง | ใหญ่โต | นำ | ไพร่ | พลลิง | ใส่ | มือ | ข้าม | ไป |   | นิมิต | เป็น | สำเภา | ใหญ่ | ใช้ | ข้าม | ไป |   | หรือ | เอา | หาง | พาด | เชื่อม | สอง | ฝั่ง | ให้ | ไพร่ | พลลิง |   | ไต่ | ข้าม | ไป |   | ชามพูวราช | กราบทูล | พระราม | ว่าการ | จะ | ทำ | สิ่ง | เหล่านั้น | ไม่ | สม | พระ | เกียรติยศ | สมควร | ให้ | ไพร่ | พลลิง | ไป | ขน | หิน | มา | ทิ้ง | ลง | ทะเล |   | หรือ |   | “ | จองถนน | ” |   | ข้าม | ไป | ยัง | กรุงลงกา"
"62","การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก","นนทก | เป็น | ยักษ์ | ที่นั่ง | ประจำ | อยู่ | เชิงบันได | เขาไกลลาศ |   | มี | หน้าที่ | ล้าง | เท้า | ให้ | เหล่า | เทวดา | ที่มา | เข้าเฝ้า | พระอิศวร |   | แต่ | ถูก | รังแก | อยู่ | เป็นประจำ |   | นนทก | เข้าเฝ้า | พระอิศวร | แล้ว | กราบทูล | ขอ | นิ้วเพชร | ที่ | มีฤทธิ์ | ชี้ | ผู้ใด | ก็ | ให้ | ผู้ | นั้น | ตาย |   | พระอิศวร | เห็นว่า | นนทก | ปฏิบัติหน้าที่ | รับใช้ | พระองค์ | มา | นาน |   | จึง | ประทาน | พร | ให้ | ตามที่ | ขอ |   | ไม่ | นาน | นัก | นนทก | ก็ | มีใจ | กำเริบ | ไม่ | ปฏิบัติหน้าที่ |   | พระอิศวร | ทรง | ทราบ | ก็ | กริ้ว | โปรด | ให้ | พระนารายณ์ | ไป | ปราบ | นนทก"
"63","การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์","แสงอาทิตย์ | ตัวละคร | ฝ่าย | ลงกา |   | เป็น | โอรส | องค์ | ที่สอง | ของ | พญาขร |   | เป็น | อนุชา | ของ | มังกรกัณฐ์ |   | มี | อาวุธ | เป็น | แว่นแก้วสุรกานต์ | ที่ | พระพรหม | ประทาน | ให้ |   | หาก | ใช้ | ส่อง | ไป | ที่ | ใคร | จะ | ทำให้ | ผู้ | นั้น | ถึง | แก่ | ความตาย |   | ทศกัณฐ์ | สั่ง | ให้ | แสงอาทิตย์ | ยกทัพ | ออก | ไป | รบ | กับ | พระราม |   | พิเภก | ทูล | พระราม | ว่า | แสงอาทิตย์ | มี | แว่นแก้วสุรกานต์ | เป็น | อาวุธ | ฝาก | ไว้ | ที่ | พระพรหม |   | กองทัพ | พระราม | จึง | วาง | อุบาย | เพื่อ | ชิง | แว่นแก้วสุรกานต์"
"64","การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร",""" | หนุมาน | "" |   | ทหารเอก | ของ | พระราม |   | ถ่ายทอด | เรื่องราว | ของ | หนุมาน | ตั้งแต่ | การ | เตรียม | การให้กำเนิด | หนุมาน |   | พระอิศวร | มี | บัญชา | ให้ | พระพาย | เป็น | บิดา |   | นำ | เทพ | ศาสตรา | และ | พละกำลัง | ของ | พระองค์ | ไป | ซัด | ใส่ | ปาก | นางสวาหะ |   | ให้ | บังเกิด | บุตร | เป็น | วานร | และ | ประทาน | นาม | ว่า |   | “ | หนุมาน | ” |   | นาง | สวาหะ | ได้ | บอก | กับ | หนุมาน | ว่า | หาก | มี | ผู้ใด | แลเห็น | และ | มา | ทักทาย | ถึง | กุณฑล |   | ขนเพชร |   | เขี้ยวแก้ว | ที่ | มี | ประ | จำกาย |   | ผู้ | นั้น | คือ | องค์ | พระนารายณ์ | อวตาร | ให้ | เข้า | สวามิภักดิ์ | ฝากตัว | เป็น | ข้า | รับใช้ | จนถึง | ถวาย | พล | กับ | พระราม |   | และ | ร่วม | กองทัพ | ฝ่าย | พลับพลา | ยกทัพ | ไป | กรุงลงกา"
"65","การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์","กุมภกรรณ |   | เป็น | อนุชา | ของ | ทศกัณฐ์ |   | ดำรงตำแหน่ง |   | อุปราช | แห่ง | กรุงลงกา |   | กุมภกรรณ | เป็น | พญา | ยักษ์ | ที่ | ครอง | ธรรม | รักษา | ไว้ | ซึ่ง | สัจจะ | และ | ความ | สุจริต | ยุติธรรม |   | หลังจากที่ | มัยราพณ์ |   | พระ | นัดดา | สิ้นชีพ | ลง |   | ทศกัณฐ์ |   | ได้ | รำพึง | ถึง | การศึก | ที่จะ | ทำสงคราม | กับ | ฝ่าย | พระราม |   | ทศกัณฐ์ | นึกถึง | กุมภกรรณ |   | จึง | เชิญ | ขึ้น | มา | เฝ้า | ปรึกษา | ศึก |   | กุมภกรรณ | ทูล | ให้ | ทศกัณฐ์ | ส่ง | นาง | สีดา | คืน | ไป |   | แต่ | ทศกัณฐ์ | กริ้ว | จึง | ประกาศ | โทษ | และ | ขับไล่ | กุมภกรรณ | เห็นว่า |   | เมื่อ | ทัดทาน | มิ | เป็นผล | จึง | จำใจ | รับอาสา | ออก | ทำสงคราม |   | โดย | จะ | นำ | หอกโมกขศักดิ์ | อัน | มีฤทธิ์ | ร้ายกาจ |   | ซึ่ง | ฝาก | ไว้ | กับ | พระพรหม | สู้ | ศึก | กับ | พระราม"
"66","การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก","คืนหนึ่ง | ทศกัณฐ์ | ฝัน | ว่า | มี | พญา | แร้ง | ขน | สี | ขาว | บิน | มาจาก | ทิศตะวันออก |   | ร่อน | มา | ที่ | หน้า | พระลาน | วัง | ทศกัณฐ์ | ตี | กัน | กับ | แร้ง | ดำ | ที่ | มาจาก | ทาง | ทิศตะวันตก |   | แร้ง | ดำ | ปราชัย | กลายร่าง | เป็น | ยักษ์ |   | มี | กะลา | น้ำมันยาง |   | มี | ไส้กะลา | วาง | เหนือ | มือ | ทศกัณฐ์ |   | มี | หญิง | นาง | หนึ่ง | วิ่ง | มา | จุด | ไส้กะลา |   | ไฟไหม้ | ติดมือ |   | พิษ | ร้อนแรง | ไป | ทั่ว | ร่าง |   | เมื่อ | ตื่นขึ้น | จึง | เรียก | พิเภก | มา | ทำนาย |   | พิเภก | ทำนาย | ฝัน | ว่า |   | กะลา | คือ | กรุงลงกา |   | ไส้กะลา | คือ | ทศกัณฐ์ |   | น้ำมันยาง | คือ | พระญาติ | วงศ์ | ทั้งหลาย |   | เพลิง | คือ | นาง | สีดา |   | หญิง | ที่ | วิ่ง | มา | จุดไฟ | คือ | นาง | สำมนักขา |   | แร้ง | เผือก | คือ | พระราม |   | แร้ง | ดำ | คือ | ทศกัณฐ์ |   | การศึก | ครั้งนี้ | ร้ายแรง | นัก |   | ทศกัณฐ์ | โกรธ | มาก | ให้ | พิเภก | สะเดาะเคราะห์ |   | แต่ | พิเภก | บอกว่า | สะเดาะ | ไม่ | ได้ | ทำ | ให้ร้าย | กลายเป็น | ดี |   | หน | ทางเดียว | คือ | คืน | นาง | สีดา | ให้ | แก่ | พระราม |   | ทศกัณฐ์ | โกรธ | พิเภก | มาก | ถึงขนาด | ตัด | พี่ | ตัด | น้อง |   | ยึด | เมีย | คือ | นาง | ตรีชฎา | ไป | เป็น | ทาส | รับใช้ | นาง | สีดา |   | ยึด | สมบัติ | ทั้งหมด | แล้ว | ขับ | ไล่ออก | ไป | จาก | เมือง"
"67","การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย","พิเภก |   | ทำนาย | ฝัน | ว่า |   | ทศกัณฐ์ |   | จะ | แพ้ | สงคราม | และ | ถูก | ฆ่า | ตาย |   | ควรจะ | สะเดาะเคราะห์ | โดย | คืน | นาง | สีดา | ไป | ให้ | แก่ | พระราม |   | แต่ | ทศกัณฐ์ | โกรธ | จึง | ขับ | พิเภก | ออก | ไป | จาก | กรุงลงกา |   | เมื่อ | พิเภก | ออกจาก | กรุงลงกา | แล้ว |   | จึง | ไป | อยู่ | ด้วย | กับ | กองทัพ | พระราม |   | ทศกัณฐ์ | คิด | หาทาง | ยุติ | ศึก | ชิง | ตัวนาง | สีดา | กับ | พระราม |   | โดย | คิด | ว่า |   | ถ้าหาก | พระราม | เห็นว่า | นาง | สีดา | ตาย | ไป | แล้ว |   | พระราม | คงจะ | ยกทัพ | กลับ | ไป | เอง |   | จึง | ให้ | นาง | เบญกาย | แปลง | เป็น | นาง | สีดา |   | จำแลง | กาย | เป็น | ศพ | ลอย | ตาม | แม่น้ำ | ไป | ที่ | หน้า | พลับพลา | ของ | พระราม"
"68","การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา  ","ปรศุราม | เป็น | อวตาร | ของ | พระนารายณ์ |   | ได้ | ยืม | ขวาน | จาก | พระอิศวร | ไป | ทำลาย | เหล่า | กษัตริย์ |   | เมื่อ | เสร็จ | ภารกิจ | จะ | เข้าเฝ้า | ที่ | เขาไกรลาส |   | ระหว่าง | นั้น | บริเวณ | พระตำหนัก | ชั้นใน | พระศิวะ | เทพ | กำลัง | สนทนา | อยู่ | กับ | นาง | ปารวตี | พระคเณศ |   | ไม่ | ยอมให้ | ปรศุราม | เข้าพบ |   | ปรศุราม | โมโห |   | เลย | ใช้ | ขวาน | ของ | พระศิวะ | ขว้าง | ไป | ยัง | พระคเณศ |   | พระองค์ | จำใจต้อง | ใช้ | งา | ข้าง | ซ้าย | รับ | ขวาน | นั้น |   | ด้วยเหตุที่ | ท่าน | ทรง | มี | ความกตัญญู | เป็น | อย่างยิ่ง | ใน | ตัวพระ | บิดา |   | แม้ | จะ | ต่อสู้ | กัน | ไป | ก็ | อาจ | ทำได้ |   | แต่ | การ | ทำลาย | ฤทธิ์เดช | ของ | อาวุธ | ของ | บิดา | ตนเอง | นั้น | ไม่ | ใช่ | ทาง | ที่ | ได้ประโยชน์ | แก่ | ฝ่าย | ใด | จึง | ยอม | สละ | งา | เพื่อ | รักษา | อาวุธ | ของ | พระอิศวร | ด้วย | ความกตัญญู"
"69","การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง","กวางทอง | คือ | มารีศ | พระยา | ยักษ์ |   | เป็น | ลูก | ของ | นาง | กากนาสูร |   | ซึ่ง | รับ | พระราชบัญชา | ของ | ทศกัณฐ์ | แปลงกาย | เป็น | กวางทอง | มา | ล่อหลอก | ให้ | นาง | สีดา | อยากได้ | กวางทอง |   | พระราม | จึง | เสด็จ | ตาม | กวางทอง | ไป | ใน | ป่า | ตาม | กลอุบาย | ของ | ทศกัณฐ์"
