item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, พระราม, ฟองน้ำ, ภูเขา, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา","การรบ, การศึก, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, พระยา, พระราม, ฟองน้ำ, ภูเขา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา",17,4,0,"การรบ, การศึก, พระยา, วานร",
การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, เอาชนะ","กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, อุบาย, เอาชนะ",9,1,0,อุบาย,
กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","กระบวนท่ารำ, กินรี, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ",6,1,0,บูชายัญ,
เมขลา รามสูร,"จำกาย, ดวงแก้ว, ตำนาน, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา","การเดินทาง, ดวงแก้ว, ตำนาน, ทะเล, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา",13,2,1,"การเดินทาง, ทะเล",จำกาย
รจนาเสี่ยงพวงมาลัย,"บุปเพสันนิวาส, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ","บุปเพสันนิวาส, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ",10,0,0,,
ระบำกฤดาภินิหาร,"ผู้แสดง, สวัสดิมงคล, เกียรติศักดิ์ไทย, เทพธิดา, เทพบุตร","กรมศิลปากร, การรบ, นางฟ้า, ศุภลักษณ์, เกียรติศักดิ์ไทย, เทวดา",1,5,4,"กรมศิลปากร, การรบ, นางฟ้า, ศุภลักษณ์, เทวดา","ผู้แสดง, สวัสดิมงคล, เทพธิดา, เทพบุตร"
ระบำกินรีร่อน,"กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส, เล่นน้ำ","กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส",4,0,1,,เล่นน้ำ
ระบำฉิ่ง,"ผู้แสดง, รัวฉิ่ง","ผู้แสดง, รัวฉิ่ง, เครื่องดนตรี",2,1,0,เครื่องดนตรี,
ระบำชุดไทยพระราชนิยม,"ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น","ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น",10,0,0,,
ระบำดาวดึงส์,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร","จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",10,1,0,แต่งกายยืนเครื่องพระ,
ระบำเทพบันเทิง,"ผู้แสดง, ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร","ผู้แสดง, ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",7,1,0,แต่งกายยืนเครื่องพระ,
ระบำนพรัตน์,"ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์","ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์",8,0,0,,
ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, วานร, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส","กลยุทธ, กลางอากาศ, กองทัพ, การรบ, การศึก, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, วานร, สงคราม, สีน้ำเงิน, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส",16,4,0,"การรบ, การศึก, สงคราม, สีน้ำเงิน",
ระบำย่องหงิด,"กระบวนท่ารำ, การแปร, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา","กระบวนท่ารำ, การรบ, การแปร, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา",13,1,0,การรบ,
ระบำวิชนี,"นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, หญิงสาว","นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, หญิงสาว",6,0,0,,
ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย","กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย, แหล่งน้ำ",9,1,0,แหล่งน้ำ,
รำซัดชาตรี,"รำคู่, ละครชาตรี, ละครใน, เบิกโรง, ไหว้ครู","ผู้แสดง, รำคู่, ละครชาตรี, เบิกโรง, ไหว้ครู",4,1,1,ผู้แสดง,ละครใน
รำเบิกโรงดอกไม้เงินทอง,"ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ","ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ",7,1,0,พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,
รำประเลง,"ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน","ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน",17,0,0,,
รำฝรั่งคู่,"จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว","จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, รำพัด, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, แต่งกายยืนเครื่องพระ",9,2,0,"รำพัด, แต่งกายยืนเครื่องพระ",
รำพลายชุมพล,"ขุนช้าง, ขุนแผน, พระไวย, พลายชุมพล, รำเดี่ยว, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ","การรบ, การศึก, ขุนช้าง, ขุนแผน, พระไวย, พลายชุมพล, รำเดี่ยว, ละครเสภา, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ",9,3,0,"การรบ, การศึก, ละครเสภา",
รำมโนห์ราบูชายัญ,"กองไฟ, บินหนี, บูชายัญ, ผู้หญิง, รำเดี่ยว, เขาไกรลาส","กองไฟ, บินหนี, บูชายัญ, ผู้หญิง, เขาไกรลาส",5,0,1,,รำเดี่ยว
รำแม่บท,"กระบวนท่ารำ, รำมาตรฐาน, แม่บท","กระบวนท่ารำ, รำมาตรฐาน, แต่งกายยืนเครื่องพระ, แม่บท",3,1,0,แต่งกายยืนเครื่องพระ,
หนุมานจับนางเบญกาย,"จับนาง, ทศกัณฐ์, นางสีดา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, อุบาย, เบญกาย","การเกี้ยวพาราสี, จับนาง, ทศกัณฐ์, นางสีดา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, อุบาย, เบญกาย",12,1,0,การเกี้ยวพาราสี,
หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, ก้อนหิน, จับนาง, นางสีดา, บริวาร, ผู้หญิง, พระราม, มหาสมุทร, มูลเหตุ, วานร, สุพรรณมัจฉา, หนุมาน","กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, การเดินทาง, ก้อนหิน, จับนาง, นางสีดา, บริวาร, ผู้หญิง, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สุพรรณมัจฉา, หนุมาน",15,2,0,"การเดินทาง, สัตว์น้ำ",
ระบำเซียงแสน,"ปูนปั้น, พุทธศตวรรษ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, ระบำโบราณคดี, โบราณสถาน","การปั้น, จิตรกรรม, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, โบราณสถาน",5,3,1,"การปั้น, จิตรกรรม, ภาคตะวันออกเฉียงเหนือ",ระบำโบราณคดี
ระบำทวารวดี,"จิตรกรรม, ดินแดน, พุทธศตวรรษ, ระบำโบราณคดี, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ","จิตรกรรม, ดินแดน, พุทธศตวรรษ, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ",6,0,1,,ระบำโบราณคดี
ระบำลพบุรี,"ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, ภาพจำหลัก, ระบำโบราณคดี, สมัยลพบุรี, หน้าบัน","ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, สมัยลพบุรี, หน้าบัน",9,0,2,,"ภาพจำหลัก, ระบำโบราณคดี"
ระบำศรีวิชัย,"ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, ระบำโบราณคดี, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ","ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ",11,1,1,มลายู,ระบำโบราณคดี
ระบำสุโขทัย,"ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, ระบำโบราณคดี, สมัยสุโขทัย, หล่อสำริด","การปั้น, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, สมัยสุโขทัย, หล่อสำริด",6,1,1,การปั้น,ระบำโบราณคดี
ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, ความภาคภูมิใจ, ทศกัณฐ์, นางสีดา, พวงมาลัย","กรุงลงกา, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย",5,1,0,ฉุยฉาย,
ฉุยฉายเบญกาย,"การยุติ, ความภาคภูมิใจ, ทศกัณฐ์, นางสีดา, พระราม, สงคราม, อุบาย, เบญกาย, แปลงกาย","การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, สงคราม, สีน้ำเงิน, อุบาย, เบญกาย, แปลงกาย",9,2,0,"ฉุยฉาย, สีน้ำเงิน",
ฉุยฉายพราหมณ์,"พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, มเหสี, เทพเจ้า, เบิกโรง, แปลงกาย","(ฮินดู, ฉุยฉาย, พระคเณศ, พระนารายณ์, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, เทพเจ้า, เบิกโรง, แปลงกาย",8,4,0,"(ฮินดู, ฉุยฉาย, พระศิวะ, พราหมณ์)",
ฉุยฉายยอพระกลิ่น,"ความภาคภูมิใจ, ฉุยฉาย, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก","การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี",6,2,0,"การเดินทาง, สวามี",
ฉุยฉายวันทอง,"ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","การศึก, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, อุบาย, แปลงกาย",8,3,1,"การศึก, ฉุยฉาย, อุบาย",ขุนช้าง
ฉุยฉายศูรปนขา,"ความภาคภูมิใจ, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, ศูรปนขา, แปลงกาย","การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, ศูรปนขา, แปลงกาย",7,2,0,"การเกี้ยวพาราสี, ฉุยฉาย",
ฉุยฉายหนุมานทรงเครื่อง,"ทศกัณฐ์, ทหารเอก, พระราม, วานร, หนุมาน, อุบาย","การเดินทาง, ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, วานร, สงคราม, สีน้ำเงิน, หนุมาน, อุบาย",6,4,0,"การเดินทาง, ฉุยฉาย, สงคราม, สีน้ำเงิน",
ชุมนุมฉุยฉาย,"ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ผู้แสดง","ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ผู้แสดง, พราหมณ์)",4,1,0,พราหมณ์),
กราววีรชัยลิง,"กองทัพ, กิริยาอาการ, ความคล่องแคล่ว, ซุกซน, ท่าทาง, พระราม, วานร, สิบแปดมงกุฎ","กราววีรชัยลิง, กองทัพ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระราม, วานร, สิบแปดมงกุฎ",8,3,0,"กราววีรชัยลิง, ความว่องไว, ต่อสู้",
