ลำดับ,ชื่อชุดการแสดง,words
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,"กะลา, การปั้น, การยุติ, การรบ, การแปร, การไถ, จับนาง, จารึก, ตัวพระ, ตารี, ต่อสู้, ทำนาย, นักษัตร, บิดา, ปรศุราม, ปารวตี, พระคเณศ, พระชายา, พระตำหนัก, พระนารายณ์, พระมหากษัตริย์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, มรกต, มโนราห์, รจนา, รังควาญ, ร่มเย็น, วานร, สีน้ำเงิน, สีแดง, องคต, อวตาร, อสูร, เขาไกรลาส, เขาไกลลาศ, เพลงอัตราจังหวะสองชั้น, แหล่งน้ำ, โมโห, ไทยทรงดำ"
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, การยุติ, การรบ, การแปร, การไถ, กาลสูร, ตารี, ทศกัณฐ์, นางสีดา, พระชายา, พระญาติ, พระพรหม, พระพาย, พระยา, พระราม, พระลักษมณ์, มารีศ, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม, องคต, อสูร, อุบาย, อุษา, แปลงกาย, ไทยทรงดำ"
70,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,"การปั้น, การยุติ, การรบ, การแปร, การไถ, ขีดขิน, ทับหลัง, นักษัตร, น้องชาย, น้องสาว, ผู้ครองนคร, พระพรหม, พระมหากษัตริย์, พระยา, พระราม, พระอุมา, พาลี, รับใช้, รุทการ, สมมุติเทพ, สีน้ำเงิน, สีแดง, สุครีพ, หลักฐาน, หลักราชการ, องคต, อนุชา, อเนก, เมืองขีดขิน, แหล่งน้ำ"
71,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, การยุติ, การรบ, การแปร, การไถ, ขอความช่วยเหลือ, ความห่วงใย, คำบอกเล่า, จับระบำ, จำกาย, ตารี, ตีลังกา, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, พระลอ, พระลักษมณ์, พระเมรุ, มารีศ, ราชสำนัก, รำลึก, ฤาษี, สำมนักขา, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม, แปลงกาย"
72,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, กะลา, การปั้น, การยุติ, การรบ, การศึก, การุณราช, การแปร, การไถ, กาลสูร, ขุนช้าง, ช้างเอราวัณ, ตารี, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระจันทร์, พระพรหม, พระยา, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, ภาคกลาง, มังกรกัณฐ์, รุทการ, วานร, สังหาร, สิ้นชีวิต, สีน้ำเงิน, สีแดง, สุรินทร์, หลงกล, อสูร, อาสา, อินทรชิต, เทวดา, เพลงกลม, เรื่องใหญ่, แปลงกาย, แสงอาทิตย์, แหล่งน้ำ, ไพร่พล"
73,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, การยุติ, การรบ, การศึก, การแปร, การไถ, จับนาง, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นักษัตร, นางสีดา, นิลพาหุ, น้องชาย, น้องสาว, บิดา, พญาทูษณ์, พระพรหม, พระยา, พระราม, มารดา, รัชฎา, รับอาสา, รำคู่, วังหน้า, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, สีแดง, หายตัว, องคต, อสูร, อาสา, เจ้าเมือง, แหล่งน้ำ, โอรส, ไทยทรงดำ"
74,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"การยุติ, การรบ, การศึก, การเดินทาง, การแปร, การไถ, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ตัวพระ, ทศกัณฐ์, ทัพหน้า, ทำนาย, พระพรหม, พระยา, พระราม, พระลอ, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รจนา, รับอาสา, รำลึก, ลิลิตพระลอ, วังหน้า, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, ศูรปนขา, สมรภูมิ, สีน้ำเงิน, สีแดง, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, เมืองชมพู, แปลงกาย, โอรส, ไทยทรงดำ"
75,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"กะลา, การยุติ, การรบ, การศึก, การแปร, การไถ, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, ทอผ้า, ท้าวสัทธาสูร, บิดา, พญาทูษณ์, พระจันทร์, พระชายา, พระพรหม, พระยา, พระราม, พระเมรุ, พาลี, ฟองน้ำ, ภูเขา, รจนา, ลายเส้น, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, สีน้ำเงิน, สีแดง, สุรินทร์, หนุมาน, หลบหนี, อสูร, อุบาย, อุษา, เขาสัตภัณฑ์, เทวดา, แหล่งน้ำ, ไทภูเขา"
76,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"การยุติ, การรบ, การแปร, การไถ, กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สีน้ำเงิน, สีแดง, สุครีพ, หนุมาน, หมดแรง, องคต, อสูร, อุบาย, อุษา, อเนก, เอาชนะ"
77,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,"การยุติ, การรบ, การศึก, การแปร, การไถ, กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, ฤดูฝน, วังหน้า, สังข์ทอง, สีน้ำเงิน, สีแดง, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, อุบาย, อุษา, อเนก, เชษฐา, เอาชนะ"
78,กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, กิริยาอาการ, จับระบำ, ตารี, ที่รัก, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, สีน้ำเงิน, สีแดง, เล่นน้ำ, แหล่งน้ำ, ใบชา"
79,เมขลา รามสูร,"การเดินทาง, การไถ, จับนาง, ชาวเหนือ, ดวงแก้ว, ตารี, ตำนาน, ตำรา, ทะเล, ธงไทย, นนทก, นางฟ้า, บิดา, ปางลีลา, มูลเหตุ, มโนราห์, รามสูร, ฤดูฝน, วสันตฤดู, วานร, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา, แหล่งน้ำ, ไทยทรงดำ"
80,รจนาเสี่ยงพวงมาลัย,"ตารี, นางรื่น, นางใน, บุปเพสันนิวาส, ผู้หญิง, พระลอ, พระสวามี, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, สีทอง, สีแดง, เกราะลอ, เจ้าหญิง, เจ้าเงาะ, เรื่องใหญ่, แหล่งน้ำ, ให้ร้าย, ไทยทรงดำ"
81,ระบำกรับ,"กรับพวง, กวางทอง, จับระบำ, ตารี, ผู้แสดง, ฝ่ามือ, สีแดง, ออกรบ, เครื่องดนตรี, เพลงเร็ว, เพลงไทย, แหล่งน้ำ, ไทยทรงดำ"
82,ระบำกฤดาภินิหาร,"กรมศิลปากร, การขับร้อง, การยุติ, การรบ, จับระบำ, นางฟ้า, นางสีดา, ผู้แสดง, มลายู, รจนา, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, องคต, อาสา, อเนก, เกียรติศักดิ์ไทย, เทวดา, แหล่งน้ำ"
83,ระบำกินรีร่อน,"กวางทอง, กะลา, การรบ, การร่อนแร่, กินรี, จับระบำ, ทะเล, ผู้หญิง, พลลิง, มโนราห์, สระอโนดาต, อเนก, เขาไกรลาส, เขาไกลลาศ, เพลงกลม, เพลงไทย, เล่นน้ำ, แหล่งน้ำ, ไทยทรงดำ"
84,ระบำฉิ่ง,"กระทบไม้, กวางทอง, จับระบำ, ตารี, ผู้แสดง, รัวฉิ่ง, สีแดง, องคต, อเนก, เครื่องดนตรี, เพลงอัตราจังหวะสองชั้น, เพลงไทย, แหล่งน้ำ, ไทยทรงดำ"
85,ระบำชุดไทยพระราชนิยม,"การขับร้อง, การขึ้นลอย, กุลสตรี, จับระบำ, ฉลองพระองค์, ตารี, ธงไทย, พระบรมราชชนนีพับปีหลวง, พระพรหม, พระยา, พระราชพิธี, พระราม, พระลอ, พระศิวะ, พระอิศวร, พระเมรุ, มวยไทย, รจนา, สังสรรค์, สุรินทร์, องคต, เรื่องใหญ่, แปลงกาย, แหล่งน้ำ, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยทรงดำ, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น"
86,ระบำดาวดึงส์,"การปั้น, จับระบำ, ดาวดึงส์, ตำรา, ทิพยวิมาน, บิดา, ผู้แสดง, พระจันทร์, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, ระบำมาตรฐาน, รำมาตรฐาน, ละครดึกดำบรรพ์, ละครนอก, สังข์ทอง, สีทอง, สีแดง, สุรินทร์, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ, แปลงกาย, ไทยทรงดำ"
87,ระบำเทพบันเทิง,"จับระบำ, ชาวนา, ตารี, ตำรา, บิดา, ผู้แสดง, ระบำมาตรฐาน, รำมาตรฐาน, ละครนอก, ละครใน, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, องคต, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, เรื่องใหญ่, แต่งกายยืนเครื่องพระ, แปลงกาย, ใบชา"
88,ระบำนพรัตน์,"จับระบำ, ทับทิม, นิ้วเพชร, บุษราคัม, ผู้แสดง, มรกต, สังสรรค์, สีน้ำเงิน, สีแดง, อัญมณี, อุษา, เพทาย, โกเมน, ไพฑูรย์"
89,ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, กะลา, การยุติ, การรบ, การศึก, การุณราช, ขบวนแห่, ขุนช้าง, จับระบำ, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, นางใน, ปิดหน้า, พรหมาสตร์, พระจันทร์, พระพรหม, พระลอ, พระลักษมณ์, พระศิวะ, พระอินทร์, พระอิศวร, ภาคกลาง, รำลึก, วานร, สงคราม, สภาพอากาศ, สีน้ำเงิน, สีแดง, สุรินทร์, องคต, อาสา, อินทรชิต, เดินอากาศ, เทพบุตร, เทวดา, เรื่องใหญ่, แปลงกาย, แหล่งน้ำ, โอรส, ไทยทรงดำ"
90,ระบำย่องหงิด,"กระบวนท่ารำ, กะลา, การปั้น, การรบ, การแปร, งานรื่นเริง, จับระบำ, ตารี, นางฟ้า, นางรื่น, บิดา, พระพี่เลี้ยง, ยักษิณี, ละครนอก, ละครใน, วาดรูป, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, หล่อเลี้ยง, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา, เพลงกลม, เรื่องใหญ่, แหล่งน้ำ, ไทยทรงดำ"
91,ระบำวิชนี,"การขับร้อง, ความสำนึก, งานแต่งงาน, จับระบำ, นางใน, ผู้แสดง, มโนราห์, ราชสำนัก, ร้อนแรง, วานร, วิชนี, สภาพอากาศ, สังสรรค์, สำนึก, สีน้ำเงิน, สีแดง, หญิงสาว, อาสา, เพลงกลม, แปลงกาย, แหล่งน้ำ"
92,ระบำศรีชยสิงห์,"กาญจนบุรี, จับระบำ, จารึก, ดินแดน, ธงไทย, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, วานร, สังสรรค์, องคต, อาสา, เทพเจ้า, เรื่องใหญ่, แควน้อย, แปลงกาย, แหล่งน้ำ, ไทยทรงดำ"
93,รำซัดชาตรี,"กวางทอง, การรบ, ตารี, ที่รัก, ปางลีลา, ผู้แสดง, รำคู่, รำพัด, ละครชาตรี, ละครนอก, ละครใน, สีน้ำเงิน, สีแดง, หญิงสาว, อเนก, เครื่องดนตรี, เบิกโรง, แหล่งน้ำ, ไหว้ครู"
94,รำเบิกโรงดอกไม้เงินทอง,"กะลา, การขับร้อง, การเดินทาง, ช่อดอกไม้, ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ, พระอุมา, ละครนอก, ละครใน, สวัสดิมงคล, สีทอง, สีน้ำเงิน, สีแดง, อเนก, เบิกโรง, เพลงกลม, แต่งกายยืนเครื่องพระ, แปลงกาย, แหล่งน้ำ"
95,รำประเลง,"การรบ, การร่อนแร่, ทะเล, ทัพหน้า, ปิดหน้า, ผู้แสดง, มโนราห์, รังควาญ, ละครนอก, ละครใน, วังหน้า, สวัสดิมงคล, สิ่งศักดิ์สิทธิ์, สีแดง, หลงกล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงสากล, เพลงหน้าพาทย์, เพลงอัตราจังหวะสองชั้น, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, แปลงกาย, แหล่งน้ำ, โคมเวียน, ไทยทรงดำ"
96,รำฝรั่งคู่,"การรบ, จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, ฝั่งน้ำ, รำคู่, รำพัด, สีแดง, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงอัตราจังหวะสองชั้น, เพลงเร็ว, แต่งกายยืนเครื่องพระ, แปลงกาย, แหล่งน้ำ"
97,รำพลายชุมพล,"กะลา, การรบ, การศึก, ขุนช้าง, ขุนแผน, ชุมพร, พระไวย, พลายชุมพล, รำพัด, รำเดี่ยว, ละครเสภา, สีน้ำเงิน, สีแดง, องคต, ออกรบ, อาสา, เพลงกลม, เพลงมอญดูดาว, เพลงอัตราจังหวะสองชั้น, แก้แค้น, แตกทัพ, แหล่งน้ำ, ไทยทรงดำ, ไส้กะลา"
98,รำมโนห์ราบูชายัญ,"กองไฟ, กะลา, การรบ, ก้อนหิน, บินหนี, บูชายัญ, ผู้หญิง, มโนราห์, รำเดี่ยว, สีน้ำเงิน, สีแดง, เขาไกรลาส, เขาไกลลาศ, โมโห, ใบชา"
99,รำแม่บท,"กระบวนท่ารำ, การขับร้อง, การรบ, การศึก, จารึก, ตำรา, ระบำมาตรฐาน, รำมาตรฐาน, ล้านนา, องคต, แต่งกายยืนเครื่องพระ, แปลงกาย, แม่บท"
100,หนุมานจับนางเบญกาย,"การยุติ, การเกี้ยวพาราสี, การไถ, จับนาง, ชายหนุ่ม, ทศกัณฐ์, นางสีดา, นางใน, บิดา, ปางลีลา, พระชายา, พระพรหม, พระยา, พระราม, มูลเหตุ, มโนราห์, ยักษิณี, ลอยน้ำ, วานร, สีน้ำเงิน, สีแดง, หนุมาน, หลบหนี, หายตัว, อุบาย, อุษา, เบญกาย, ไทยทรงดำ"
101,หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การยุติ, การเกี้ยวพาราสี, การเดินทาง, การไถ, ก้อนหิน, จับนาง, ชาวนา, ตีลังกา, นางสีดา, บริวาร, ผู้หญิง, พระพรหม, พระยา, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สีน้ำเงิน, สีแดง, สุพรรณมัจฉา, หนุมาน, องคต, แปลงกาย, ไทยทรงดำ"
102,ระบำเซียงแสน,"กะลา, การปั้น, จับระบำ, จิตรกรรม, ชาวเหนือ, ตะวันตก, ตารี, ทิศตะวันออก, ปางลีลา, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, มลายู, มโนราห์, ระบำโบราณคดี, สังสรรค์, สี่ภาค, อาสา, แหล่งน้ำ, โบราณสถาน"
103,ระบำทวารวดี,"การดีด, งานประติมากรรม, จับระบำ, จิตรกรรม, ดินแดน, ตารี, นาฏกรรม, นิสัย, ปารวตี, พุทธศตวรรษ, มโนราห์, ระบำโบราณคดี, วานร, สมัยทวารวดี, สังสรรค์, องคต, เชื้อชาติ, เรื่องใหญ่, แปลงกาย, โบราณวัตถุ"
104,ระบำลพบุรี,"การปั้น, การรบ, งานประติมากรรม, จับระบำ, จำกาย, ดินแดน, ตารี, ทับหลัง, นครราชสีมา, นาฏกรรม, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พาลี, พุทธศตวรรษ, ภาพจำหลัก, มโนราห์, รจนา, ระบำโบราณคดี, สมัยลพบุรี, สังสรรค์, สีน้ำเงิน, หน้าบัน, องคต, อาสา, เรื่องใหญ่, แปลงกาย, แหล่งน้ำ"
105,ระบำศรีวิชัย,"กรมศิลปากร, การปั้น, การรบ, จับระบำ, จำกาย, ชุมพร, ดินแดน, ตารี, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, มโนราห์, รจนา, ระบำโบราณคดี, สมัยศรีวิชัย, สังสรรค์, หมู่เกาะ, หลักฐาน, องคต, อาสา, อินเดีย, อินโดนีเซีย, เกราะลอ, เรื่องใหญ่, แปลงกาย, แหลมมลายู, โบราณวัตถุ"
106,ระบำสุโขทัย,"การปั้น, งานประติมากรรม, จับระบำ, ตารี, นาฏกรรม, บิดา, ปางลีลา, ปูนปั้น, พระพุทธรูป, พาลี, พุทธศตวรรษ, มโนราห์, ระบำโบราณคดี, สมัยสุโขทัย, สังสรรค์, หล่อสำริด, องคต, อสูร, เรื่องใหญ่, แปลงกาย"
107,ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, กะลา, การยุติ, การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, ปางลีลา, พวงมาลัย, สะล้อ, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ"
108,ฉุยฉายเบญกาย,"กะลา, การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, ปางลีลา, พระพรหม, พระยา, พระราม, พระสวามี, สงคราม, สังข์ทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, เบญกาย, แปลงกาย"
109,ฉุยฉายพราหมณ์,"กะลา, ฉุยฉาย, พระคเณศ, พระชายา, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, มโนราห์, รจนา, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุษา, (ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย"
110,ฉุยฉายยอพระกลิ่น,"กะลา, การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, ปางลีลา, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี, สีน้ำเงิน, สีแดง, องคต"
111,ฉุยฉายวันทอง,"กะลา, การยุติ, การศึก, ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, ฉุยฉาย, ตำรา, บุตรชาย, ปางลีลา, พระชายา, พระไวย, มารดา, วันทอง, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, แปลงกาย, แหล่งน้ำ, ไทยทรงดำ"
112,ฉุยฉายศูรปนขา,"กะลา, การยุติ, การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, น้องชาย, น้องสาว, ปางลีลา, พระพรหม, พระยา, พระราม, พระสวามี, ยักษิณี, วานร, ศูรปนขา, สีน้ำเงิน, สีแดง, องคต, อาสา, แปลงกาย, แหล่งน้ำ"
113,ฉุยฉายหนุมานทรงเครื่อง,"กะลา, การยุติ, การรบ, การเดินทาง, กิริยาอาการ, งานแต่งงาน, ฉุยฉาย, ชายหนุ่ม, ทศกัณฐ์, ทหารเอก, พระพรหม, พระยา, พระราม, มโนราห์, วานร, สงคราม, สีน้ำเงิน, สีแดง, หนุมาน, องคต, อุบาย, อุษา"
114,ชุมนุมฉุยฉาย,"การขับร้อง, การรบ, ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ชุมพร, ผู้แสดง, พราหมณ์), พลลิง, สีน้ำเงิน, สีแดง, องคต, แต่งกายยืนเครื่องพระ, แปลงกาย"
