ลำดับ,ชื่อชุดการแสดง,words
77,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,"การยุติ, การรบ, การศึก, การแปร, การไถ, กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, ฤดูฝน, สังข์ทอง, สีน้ำเงิน, สีแดง, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, อุบาย, อุษา, อเนก, เชษฐา, เอาชนะ"
78,กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, ตารี, ที่รัก, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, สีน้ำเงิน, สีแดง, เล่นน้ำ, แหล่งน้ำ, ใบชา"
79,เมขลา รามสูร,"การเดินทาง, การไถ, จับนาง, ชาวเหนือ, ดวงแก้ว, ตารี, ตำนาน, ตำรา, ทะเล, ธงไทย, นนทก, นางฟ้า, บิดา, มูลเหตุ, มโนราห์, รามสูร, ฤดูฝน, วสันตฤดู, วานร, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา, แหล่งน้ำ, ไทยทรงดำ"
80,รจนาเสี่ยงพวงมาลัย,"ตารี, นางใน, บุปเพสันนิวาส, พระลอ, พระสวามี, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, สีทอง, สีแดง, เจ้าหญิง, เจ้าเงาะ, แหล่งน้ำ, ไทยทรงดำ"
81,ระบำกรับ,"กรับพวง, จับระบำ, ตารี, ผู้แสดง, ฝ่ามือ, สีแดง, ออกรบ, เครื่องดนตรี, แหล่งน้ำ, ไทยทรงดำ"
82,ระบำกฤดาภินิหาร,"กรมศิลปากร, การยุติ, การรบ, นางฟ้า, นางสีดา, มลายู, รจนา, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, องคต, อาสา, อเนก, เกียรติศักดิ์ไทย, เทวดา, แหล่งน้ำ"
83,ระบำกินรีร่อน,"กะลา, การรบ, กินรี, ทะเล, ผู้หญิง, พลลิง, มโนราห์, สระอโนดาต, อเนก, เขาไกรลาส, เขาไกลลาศ, เล่นน้ำ, แหล่งน้ำ, ไทยทรงดำ"
84,ระบำฉิ่ง,"กระทบไม้, ตารี, ผู้แสดง, รัวฉิ่ง, สีแดง, องคต, อเนก, เครื่องดนตรี, แหล่งน้ำ, ไทยทรงดำ"
85,ระบำชุดไทยพระราชนิยม,"ฉลองพระองค์, ตารี, ธงไทย, พระบรมราชชนนีพับปีหลวง, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, มวยไทย, รจนา, สังสรรค์, สุรินทร์, องคต, แหล่งน้ำ, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยทรงดำ, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น"
86,ระบำดาวดึงส์,"การปั้น, จับระบำ, ดาวดึงส์, ตำรา, ทิพยวิมาน, บิดา, ผู้แสดง, พระจันทร์, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, ระบำมาตรฐาน, รำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, สีทอง, สีแดง, สุรินทร์, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ, ไทยทรงดำ"
87,ระบำเทพบันเทิง,"ชาวนา, ตารี, ตำรา, บิดา, ผู้แสดง, ระบำมาตรฐาน, รำมาตรฐาน, ละครใน, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, องคต, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ, ใบชา"
88,ระบำนพรัตน์,"ทับทิม, นิ้วเพชร, บุษราคัม, ผู้แสดง, มรกต, สังสรรค์, สีน้ำเงิน, สีแดง, อัญมณี, อุษา, เพทาย, โกเมน, ไพฑูรย์"
89,ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, กะลา, การยุติ, การรบ, การศึก, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, นางใน, พรหมาสตร์, พระจันทร์, พระลอ, พระลักษมณ์, พระศิวะ, พระอินทร์, พระอิศวร, รำลึก, วานร, สงคราม, สภาพอากาศ, สีน้ำเงิน, สีแดง, สุรินทร์, องคต, อาสา, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, แหล่งน้ำ, โอรส, ไทยทรงดำ"
90,ระบำย่องหงิด,"กระบวนท่ารำ, กะลา, การปั้น, การรบ, การแปร, งานรื่นเริง, จับระบำ, ตารี, นางฟ้า, บิดา, พระพี่เลี้ยง, ละครใน, วาดรูป, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา, แหล่งน้ำ, ไทยทรงดำ"
91,ระบำวิชนี,"การขับร้อง, ความสำนึก, นางใน, ผู้แสดง, มโนราห์, ราชสำนัก, วานร, วิชนี, สภาพอากาศ, สังสรรค์, สำนึก, สีน้ำเงิน, สีแดง, หญิงสาว, อาสา, แหล่งน้ำ"
92,ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, ดินแดน, ธงไทย, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, วานร, สังสรรค์, องคต, อาสา, แควน้อย, แหล่งน้ำ, ไทยทรงดำ"
93,รำซัดชาตรี,"การรบ, ตารี, ที่รัก, ผู้แสดง, รำคู่, รำพัด, ละครชาตรี, ละครใน, สีน้ำเงิน, สีแดง, อเนก, เบิกโรง, แหล่งน้ำ, ไหว้ครู"
94,รำเบิกโรงดอกไม้เงินทอง,"กะลา, ช่อดอกไม้, ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ, ละครใน, สวัสดิมงคล, สีทอง, สีน้ำเงิน, สีแดง, อเนก, เบิกโรง, แต่งกายยืนเครื่องพระ, แหล่งน้ำ"
95,รำประเลง,"การรบ, ทะเล, ปิดหน้า, ผู้แสดง, มโนราห์, รังควาญ, ละครใน, สวัสดิมงคล, สิ่งศักดิ์สิทธิ์, สีแดง, หลงกล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงสากล, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, แหล่งน้ำ, โคมเวียน, ไทยทรงดำ"
96,รำฝรั่งคู่,"การรบ, จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, รำพัด, สีแดง, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, แต่งกายยืนเครื่องพระ, แหล่งน้ำ"
97,รำพลายชุมพล,"กะลา, การรบ, การศึก, ขุนช้าง, ขุนแผน, ชุมพร, พระไวย, พลายชุมพล, รำพัด, รำเดี่ยว, ละครเสภา, สีน้ำเงิน, สีแดง, องคต, ออกรบ, อาสา, เพลงมอญดูดาว, แก้แค้น, แตกทัพ, แหล่งน้ำ, ไทยทรงดำ"
98,รำมโนห์ราบูชายัญ,"กองไฟ, กะลา, การรบ, บินหนี, บูชายัญ, ผู้หญิง, รำเดี่ยว, สีน้ำเงิน, สีแดง, เขาไกรลาส, เขาไกลลาศ, โมโห, ใบชา"
99,รำแม่บท,"กระบวนท่ารำ, การรบ, การศึก, จารึก, ตำรา, ระบำมาตรฐาน, รำมาตรฐาน, ล้านนา, องคต, แต่งกายยืนเครื่องพระ, แม่บท"
100,หนุมานจับนางเบญกาย,"การยุติ, การเกี้ยวพาราสี, การไถ, จับนาง, ชายหนุ่ม, ทศกัณฐ์, นางสีดา, นางใน, บิดา, พระยา, พระราม, มูลเหตุ, มโนราห์, ยักษิณี, ลอยน้ำ, วานร, สีน้ำเงิน, สีแดง, หนุมาน, หลบหนี, หายตัว, อุบาย, อุษา, เบญกาย, ไทยทรงดำ"
101,หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การยุติ, การเกี้ยวพาราสี, การเดินทาง, การไถ, ก้อนหิน, จับนาง, ชาวนา, นางสีดา, บริวาร, ผู้หญิง, พระยา, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สีน้ำเงิน, สีแดง, สุพรรณมัจฉา, หนุมาน, องคต, ไทยทรงดำ"
102,ระบำเซียงแสน,"กะลา, การปั้น, จิตรกรรม, ชาวเหนือ, ตารี, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, มลายู, มโนราห์, ระบำโบราณคดี, สังสรรค์, สี่ภาค, อาสา, แหล่งน้ำ, โบราณสถาน"
103,ระบำทวารวดี,"การดีด, งานประติมากรรม, จิตรกรรม, ดินแดน, ตารี, นิสัย, พุทธศตวรรษ, มโนราห์, ระบำโบราณคดี, วานร, สมัยทวารวดี, สังสรรค์, องคต, เชื้อชาติ, โบราณวัตถุ"
104,ระบำลพบุรี,"การปั้น, การรบ, งานประติมากรรม, จำกาย, ดินแดน, ตารี, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พาลี, พุทธศตวรรษ, ภาพจำหลัก, มโนราห์, รจนา, ระบำโบราณคดี, สมัยลพบุรี, สังสรรค์, สีน้ำเงิน, หน้าบัน, องคต, อาสา, แหล่งน้ำ"
105,ระบำศรีวิชัย,"การปั้น, การรบ, จำกาย, ชุมพร, ดินแดน, ตารี, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, มโนราห์, รจนา, ระบำโบราณคดี, สมัยศรีวิชัย, สังสรรค์, หมู่เกาะ, หลักฐาน, องคต, อาสา, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ"
106,ระบำสุโขทัย,"การปั้น, งานประติมากรรม, ตารี, บิดา, ปางลีลา, ปูนปั้น, พระพุทธรูป, พาลี, พุทธศตวรรษ, มโนราห์, ระบำโบราณคดี, สมัยสุโขทัย, สังสรรค์, หล่อสำริด, องคต, อสูร"
107,ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, กะลา, การยุติ, การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, สะล้อ, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ"
108,ฉุยฉายเบญกาย,"กะลา, การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, สงคราม, สังข์ทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, เบญกาย, แปลงกาย"
109,ฉุยฉายพราหมณ์,"กะลา, ฉุยฉาย, พระคเณศ, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, มโนราห์, รจนา, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุษา, (ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย"
110,ฉุยฉายยอพระกลิ่น,"กะลา, การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี, สีน้ำเงิน, สีแดง, องคต"
111,ฉุยฉายวันทอง,"กะลา, การยุติ, การศึก, ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, ฉุยฉาย, ตำรา, บุตรชาย, พระไวย, มารดา, วันทอง, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, แปลงกาย, แหล่งน้ำ, ไทยทรงดำ"
112,ฉุยฉายศูรปนขา,"กะลา, การยุติ, การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระพรหม, พระยา, พระราม, ยักษิณี, วานร, ศูรปนขา, สีน้ำเงิน, สีแดง, องคต, อาสา, แปลงกาย, แหล่งน้ำ"
113,ฉุยฉายหนุมานทรงเครื่อง,"กะลา, การยุติ, การรบ, การเดินทาง, ฉุยฉาย, ชายหนุ่ม, ทศกัณฐ์, ทหารเอก, พระยา, พระราม, มโนราห์, วานร, สงคราม, สีน้ำเงิน, สีแดง, หนุมาน, องคต, อุบาย, อุษา"
114,ชุมนุมฉุยฉาย,"การรบ, ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ชุมพร, ผู้แสดง, พราหมณ์), พลลิง, สีน้ำเงิน, สีแดง, องคต, แต่งกายยืนเครื่องพระ"
