ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,ผลการตัดคำ
26,พลองไม้สั้น,เป็นศิลปะการต่อสู้ชนิดหนึ่งของไทยแต่โบราณ พลองเป็นอาวุธยาวใช้สำหรับตีหรือกระทุ้ง ไม้สั้นเป็นอาวุธสั้นสวมทับแขนท่อนปลาย ผู้ใช้ไม้สั้นต้องมีความว่องไว มักเป็นฝ่ายรุกเข้าประชิดตัวคู่ต่อสู้ พลองไม้สั้นเป็นการแสดงการต่อสู้แบบตัวต่อตัว แบ่งเป็น 2 ฝ่าย นิยมแบ่งเป็นฝ่ายสีแดงและสีน้ำเงิน ผู้แสดงต้องผ่านการฝึกหัดขั้นพื้นฐาน จนถึงฝึกท่าตีหลัก ประกอบด้วย การตีรุก การตีรับ และการตีลูกไม้ จนเกิดความชำนาญสามารถจดจำกระบวนท่าต่อสู้ได้เป็นอย่างดี,เป็น | ศิลปะ | การต่อสู้ | ชนิด | หนึ่ง | ของ | ไทย | แต่ | โบราณ |   | พลอง | เป็น | อาวุธ | ยาว | ใช้ | สำหรับ | ตี | หรือ | กระทุ้ง |   | ไม้สั้น | เป็น | อาวุธ | สั้น | สวม | ทับ | แขน | ท่อน | ปลาย |   | ผู้ใช้ | ไม้สั้น | ต้อง | มี | ความว่องไว |   | มัก | เป็น | ฝ่าย | รุก | เข้า | ประชิดตัว | คู่ต่อสู้ |   | พลอง | ไม้สั้น | เป็น | การแสดง | การต่อสู้ | แบบ | ตัวต่อตัว |   | แบ่ง | เป็น |   | 2 |   | ฝ่าย |   | นิยม | แบ่ง | เป็น | ฝ่าย | สีแดง | และ | สีน้ำเงิน |   | ผู้แสดง | ต้อง | ผ่าน | การ | ฝึกหัด | ขั้นพื้นฐาน |   | จนถึง | ฝึก | ท่า | ตี | หลัก |   | ประกอบด้วย |   | การ | ตี | รุก |   | การ | ตี | รับ |   | และ | การ | ตี | ลูกไม้ |   | จน | เกิด | ความชำนาญ | สามารถ | จดจำ | กระบวนท่า | ต่อสู้ | ได้ | เป็น | อย่าง | ดี
27,มวยคาดเชือก,เป็นการแสดงศิลปะการต่อสู้มวยไทยสมัยโบราณ โดยการใช้เชือกพันที่มือและช่วงปลายแขนทั้งสอง ศิลปะมวยไทยคือ การผสมผสานการใช้หมัด เท้า เข่า ศอก มีแม่ไม้มวยทั้งท่ารุกและท่ารับสำหรับใช้ในการต่อสู้ ผู้แสดงจึงต้องผ่านการฝึกเบื้องต้นในการใช้กระบวนท่าให้คล่องแคล่ว,เป็น | การแสดง | ศิลปะ | การต่อสู้ | มวยไทย | สมัยโบราณ |   | โดย | การ | ใช้ | เชือก | พัน | ที่ | มือ | และ | ช่วง | ปลาย | แขน | ทั้งสอง |   | ศิลปะ | มวยไทย | คือ |   | การ | ผสมผสาน | การ | ใช้ | หมัด |   | เท้า |   | เข่า |   | ศอก |   | มี | แม่ไม้ | มวย | ทั้ง | ท่า | รุก | และ | ท่า | รับ | สำหรับ | ใช้ | ใน | การต่อสู้ |   | ผู้แสดง | จึง | ต้อง | ผ่าน | การ | ฝึก | เบื้องต้น | ใน | การ | ใช้ | กระบวนท่า | ให้ | คล่องแคล่ว
28,ระบำชาวนา,เป็นการแสดงที่สะท้อนให้เห็นวิถีการประกอบอาชีพกสิกรรมของชาวนา ประกอบด้วย การไถ หว่าน และการเกี่ยวข้าวในนาด้วยความสุขใช้ผู้แสดงชายและหญิง เปรียบเสมือนเป็นชาวนา,เป็น | การแสดง | ที่ | สะท้อน | ให้ | เห็น | วิถี | การประกอบอาชีพ | กสิกรรม | ของ | ชาวนา |   | ประกอบด้วย |   | การไถ |   | หว่าน |   | และ | การ | เกี่ยวข้าว | ใน | นา | ด้วย | ความสุข | ใช้ | ผู้แสดง | ชาย | และ | หญิง |   | เปรียบเสมือน | เป็น | ชาวนา
29,รำเถิดเทิง,เรียกอีกอย่างว่ารำกลองยาว เป็นการแสดงรำหยอกล้อยั่วเย้าของฝ่ายชายและฝ่ายหญิง โดยมีการตีกลองยาวเป็นจังหวะ ประกอบการแสดงที่สนุกสนานรื่นเริง,เรียก | อีก | อย่างว่า | รำ | กลองยาว |   | เป็น | การแสดง | รำ | หยอกล้อ | ยั่วเย้า | ของ | ฝ่าย | ชาย | และ | ฝ่าย | หญิง |   | โดย | มี | การตีกลอง | ยาว | เป็นจังหวะ |   | ประกอบ | การแสดง | ที่ | สนุกสนาน | รื่นเริง
30,รำวงมาตรฐาน,เป็นการแสดงที่ปรับปรุงมาจากการรำโทน นิยมเป็นการละเล่นรื่นเริงประจำฤดูกาลของไทยภาคกลาง ซึ่งกระบวนท่ารำจะกำหนดไปตามเพลง รวมทั้งสิ้น10 เพลง คือ เพลงงามแสงเดือน เพลงชาวไทย เพลงรำซิมารำ เพลงคืนเดือนหงาย เพลงดวงจันทร์วันเพ็ญ เพลงดอกไม้ของชาติ เพลงดวงจันทร์ขวัญฟ้า เพลงหญิงไทยใจงาม เพลงบูชานักรบ และเพลงยอดชายใจหาญ,เป็น | การแสดง | ที่ | ปรับปรุง | มาจาก | การ | รำโทน |   | นิยม | เป็น | การละเล่น | รื่นเริง | ประจำ | ฤดูกาล | ของ | ไทย | ภาค | กลาง |   | ซึ่ง | กระบวนท่ารำ | จะ | กำหนด | ไป | ตามเพลง |   | รวม | ทั้งสิ้น | 10 |   | เพลง |   | คือ |   | เพลงงามแสงเดือน |   | เพลงชาวไทย |   | เพลงรำซิมารำ |   | เพลงคืนเดือนหงาย |   | เพลงดวงจันทร์วันเพ็ญ |   | เพลงดอกไม้ของชาติ |   | เพลงดวงจันทร์ขวัญฟ้า |   | เพลงหญิงไทยใจงาม |   | เพลงบูชานักรบ |   | และ | เพลงยอดชายใจหาญ
31,รำสีนวล,เป็นศิลปะการแสดงที่สวยงามทั้งท่ารำและเพลงขับร้องที่มีความไพเราะ ลักษณะท่ารำและคำร้อง หมายถึงอิริยาบถที่นุ่มนวลอ่อนช้อยของกุลสตรี นิยมจัดแสดงในงานทั่วไป,เป็น | ศิลปะการแสดง | ที่ | สวยงาม | ทั้ง | ท่า | รำ | และ | เพลง | ขับร้อง | ที่ | มี | ความไพเราะ |   | ลักษณะ | ท่า | รำ | และ | คำร้อง |   | หมายถึง | อิริยาบถ | ที่ | นุ่มนวล | อ่อนช้อย | ของ | กุลสตรี |   | นิยม | จัดแสดง | ใน | งาน | ทั่วไป
32,โนรา,เป็นศิลปะการแสดงที่เก่าแก่ของชาวไทยภาคใต้ มีแบบแผนสืบต่อกันมาหลายร้อยปี ท่ารำโนราบรรยายถึงลักษณะท่ารำของกินรี และใช้สำหรับเป็นการรำบูชาครู เพื่อความสวัสดิมงคล ยูเนสโกประกาศรับรองขึ้นทะเบียนเป็นมรดกภูมิปัญญาทางวัฒนธรรมที่จับต้องไม่ได้ของมนุษยชาติ,เป็น | ศิลปะการแสดง | ที่ | เก่าแก่ | ของ | ชาวไทย | ภาคใต้ |   | มีแบบแผน | สืบ | ต่อกัน | มา | หลาย | ร้อย | ปี |   | ท่า | รำ | โนรา | บรรยาย | ถึง | ลักษณะ | ท่า | รำ | ของ | กินรี |   | และ | ใช้ | สำหรับ | เป็น | การรำ | บูชาครู |   | เพื่อ | ความ | สวัสดิมงคล |   | ยูเนสโก | ประกาศ | รับรอง | ขึ้นทะเบียน | เป็น | มรดกภูมิปัญญาทางวัฒนธรรม | ที่ | จับต้อง | ไม่ | ได้ | ของ | มนุษยชาติ
33,รองเง็ง,เป็นการละเล่นของชาวไทยทางภาคใต้ ที่ได้รับอิทธิพลของชาวตะวันตกโดยเฉพาะสเปนและโปรตุเกสที่ติดต่อค้าขายกับชาวมลายู โดยเผยแพร่มาทางจังหวัดชายแดนทางตอนใต้ของไทย ผู้แสดงประกอบด้วยชายหญิงรำเป็นคู่นิยมแสดงในงานรื่นเริงทั่วไป,เป็น | การละเล่น | ของ | ชาวไทย | ทาง | ภาคใต้ |   | ที่ | ได้รับ | อิทธิพล | ของ | ชาว | ตะวันตก | โดยเฉพาะ | สเปน | และ | โปรตุเกส | ที่ | ติดต่อ | ค้าขาย | กับ | ชาว | มลายู |   | โดย | เผยแพร่ | มา | ทาง | จังหวัด | ชายแดน | ทาง | ตอน | ใต้ | ของ | ไทย |   | ผู้แสดง | ประกอบด้วย | ชาย | หญิง | รำ | เป็น | คู่ | นิยม | แสดง | ใน | งานรื่นเริง | ทั่วไป
34,ระบำตารีกีปัส,เป็นการแสดงรำพัดทางภาคใต้ของไทย ผู้แสดงหญิงถือพัดทั้ง 2 มือ ร่ายรำประกอบเพลงที่บรรเลงด้วยเครื่องดนตรีพื้นเมืองภาคใต้ผสมผสานเครื่องประกอบจังหวะและเครื่องดนตรีตะวันตกที่มีความไพเราะ,เป็น | การแสดง | รำพัด | ทาง | ภาคใต้ | ของ | ไทย |   | ผู้แสดง | หญิง | ถือ | พัด | ทั้ง |   | 2 |   | มือ |   | ร่ายรำ | ประกอบ | เพลง | ที่ | บรรเลง | ด้วย | เครื่องดนตรีพื้นเมือง | ภาคใต้ | ผสมผสาน | เครื่องประกอบจังหวะ | และ | เครื่องดนตรีตะวันตก | ที่ | มี | ความไพเราะ
35,ระบำตารีบุหงา,เป็นภาษามลายู “ตารี” แปลว่า รำหรือระบำ “บุหงา” แปลว่า ดอกไม้ ตารีบุหงา จึงหมายถึง ระบำดอกไม้ ได้แนวคิดมาจากช่อดอกไม้ที่ใช้แทนของที่ระลึกเพื่อมอบให้แขกที่มาร่วมในงานแต่งงาน ของชาวไทยมุสลิม ผู้แสดงสวมเครื่องแต่งกายแบบพื้นบ้านภาคใต้ถือพานดอกไม้ประกอบกระบวนท่ารำที่งดงาม,เป็น | ภาษามลายู |   | “ | ตา | รี | ” |   | แปล | ว่า |   | รำ | หรือ | ระบำ |   | “ | บุหงา | ” |   | แปล | ว่า |   | ดอกไม้ |   | ตารีบุหงา |   | จึง | หมายถึง |   | ระบำ | ดอกไม้ |   | ได้ | แนวคิด | มาจาก | ช่อดอกไม้ | ที่ | ใช้ | แทน | ของที่ระลึก | เพื่อ | มอบให้ | แขก | ที่มา | ร่วมใน | งานแต่งงาน |   | ของ | ชาวไทย | มุสลิม |   | ผู้แสดง | สวม | เครื่องแต่งกาย | แบบ | พื้นบ้านภาคใต้ | ถือ | พาน | ดอกไม้ | ประกอบ | กระบวนท่ารำ | ที่ | งดงาม
36,ระบำร่อนแร่,เป็นการแสดงทางภาคใต้ของไทย มีลีลาท่ารำที่สื่อความหมายถึงการประกอบอาชีพหาแร่จากแหล่งน้ำธรรมชาติของหญิงสาว เริ่มด้วยการร่อนแร่ เก็บแร่ ประกอบจังหวะดนตรีที่สนุกสนานรื่นเริงใจ,เป็น | การแสดง | ทาง | ภาคใต้ | ของ | ไทย |   | มี | ลีลา | ท่า | รำ | ที่ | สื่อ | ความ | หมายถึง | การประกอบอาชีพ | หา | แร่ | จาก | แหล่งน้ำ | ธรรมชาติ | ของ | หญิงสาว |   | เริ่ม | ด้วย | การร่อนแร่ |   | เก็บ | แร่ |   | ประกอบ | จังหวะ | ดนตรี | ที่ | สนุกสนาน | รื่น | เริงใจ
37,กลองสะบัดชัย,เป็นศิลปะการตีกลองของชาวล้านนาทางภาคเหนือของไทย มีศิลปะการตี เพื่อสร้างความฮึกเหิมก่อนออกรบทำสงครามกับข้าศึกต่อมานิยมตีกลองในขบวนแห่เกี่ยวกับพิธีทางศาสนา ผู้ตีกลองสะบัดชัยจะตีด้วยท่าทางคล่องแคล่วว่องไว โลดโผนและสนุกสนาน นอกจากนี้สามารถจัดแสดงในงานต่าง ๆ เพื่อความเป็นสิริมงคล,เป็น | ศิลปะ | การตีกลอง | ของ | ชาว | ล้านนา | ทาง | ภาคเหนือ | ของ | ไทย |   | มี | ศิลปะ | การ | ตี |   | เพื่อ | สร้าง | ความ | ฮึกเหิม | ก่อน | ออกรบ | ทำสงคราม | กับ | ข้าศึก | ต่อมา | นิยม | ตี | กลอง | ใน | ขบวนแห่ | เกี่ยวกับ | พิธีทางศาสนา |   | ผู้ | ตี | กลองสะบัดชัย | จะ | ตี | ด้วย | ท่าทาง | คล่องแคล่ว | ว่องไว |   | โลดโผน | และ | สนุกสนาน |   | นอกจากนี้ | สามารถ | จัดแสดง | ใน | งาน | ต่าง ๆ |   | เพื่อ | ความ | เป็น | สิริมงคล
38,ฟ้อนจันทราพาฝัน,เป็นชุดการฟ้อนตามท่วงทำนองและบทร้อง ที่บรรยายถึงหญิงสาวชาวเหนือผู้หลงใหลใฝ่ฝันในความงามของแสงจันทร์ โดยมีลีลาท่าฟ้อนอันอ่อนช้อยงดงาม ออกแบบท่ารำโดยท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ผู้เชี่ยวชาญนาฏศิลป์ไทยและศิลปินแห่งชาติ ส่วนบทร้องนั้นประพันธ์ร่วมกับนายประพันธ์ สุคนธะชาติ ในทำนองเพลงลาวคำหอม,เป็น | ชุด | การ | ฟ้อน | ตาม | ท่วงทำนอง | และ | บทร้อง |   | ที่ | บรรยาย | ถึง | หญิงสาว | ชาวเหนือ | ผู้ | หลงใหล | ใฝ่ฝัน | ใน | ความงาม | ของ | แสงจันทร์ |   | โดย | มี | ลีลา | ท่า | ฟ้อน | อัน | อ่อนช้อย | งดงาม |   | ออกแบบ | ท่า | รำ | โดย | ท่านผู้หญิงแผ้ว สนิทวงศ์เสนี |   | ผู้เชี่ยวชาญ | นาฏศิลป์ | ไทย | และ | ศิลปิน | แห่งชาติ |   | ส่วน | บทร้อง | นั้น | ประพันธ์ | ร่วมกับ | นาย | ประพันธ์ สุคนธะชาติ |   | ใน | ทำนอง | เพลงลาวคำหอม
39,ฟ้อนเจิง,เป็นศิลปะการฟ้อนของชาวล้านนาทางภาคเหนือของไทย ที่แสดงถึงศิลปะการต่อสู้ ประกอบลีลา ท่าฟ้อนที่สื่อถึงการต่อสู้ด้วยมือเปล่าหรือการต่อสู้ด้วยอาวุธ เช่น หอก ดาบ,เป็น | ศิลปะ | การ | ฟ้อน | ของ | ชาว | ล้านนา | ทาง | ภาคเหนือ | ของ | ไทย |   | ที่ | แสดงถึง | ศิลปะ | การต่อสู้ |   | ประกอบ | ลีลา |   | ท่า | ฟ้อน | ที่ | สื่อ | ถึง | การต่อสู้ | ด้วย | มือเปล่า | หรือ | การต่อสู้ | ด้วย | อาวุธ |   | เช่น |   | หอก |   | ดาบ
40,ฟ้อนดวงเดือน,เป็นการแสดงที่มีลักษณะการเกี้ยวพาราสีของชายหนุ่มหญิงสาว เพลงที่ใช้เป็นเพลงอัตราจังหวะสองชั้น สำเนียงลาว ทรงพระนิพนธ์คำร้องและทำนองโดยพระเจ้าบรมวงศ์เธอกรมหมื่นพิชัยมหินทโรดม,เป็น | การแสดง | ที่ | มี | ลักษณะ | การเกี้ยวพาราสี | ของ | ชายหนุ่ม | หญิงสาว |   | เพลง | ที่ | ใช้ | เป็น | เพลงอัตราจังหวะสองชั้น |   | สำเนียง | ลาว |   | ทรง | พระนิพนธ์ | คำร้อง | และ | ทำนอง | โดย | พระเจ้าบรมวงศ์เธอกรมหมื่นพิชัยมหินทโรดม
41,ฟ้อนที,ที หมายถึง ร่ม เป็นภาษา “ไต” นำมาใช้เป็นอุปกรณ์ประกอบท่าฟ้อนผสมกับท่ารำของชาวไต จังหวัดแม่ฮ่องสอนในภาคเหนือของไทย ลีลาท่ารำเน้นศิลปะการใช้ร่มในลักษณะต่าง ๆ ที่งดงาม ตามท่วงทำนองดนตรีพื้นบ้านภาคเหนือ,ที |   | หมายถึง |   | ร่ม |   | เป็น | ภาษา |   | “ | ไต | ” |   | นำมาใช้ | เป็น | อุปกรณ์ | ประกอบ | ท่า | ฟ้อน | ผสม | กับ | ท่า | รำ | ของ | ชาว | ไต |   | จังหวัด | แม่ฮ่องสอน | ใน | ภาคเหนือ | ของ | ไทย |   | ลีลา | ท่า | รำ | เน้น | ศิลปะ | การ | ใช้ | ร่ม | ใน | ลักษณะ | ต่าง ๆ |   | ที่ | งดงาม |   | ตาม | ท่วงทำนอง | ดนตรีพื้นบ้าน | ภาคเหนือ
42,ฟ้อนเทียน,เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละหนึ่งเล่ม ร่ายรำไปตามทำนองเพลง นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชัดเจน,เป็นการ | ฟ้อน | แบบ | หนึ่ง | ทาง | ภาคเหนือ | ของ | ประเทศไทย |   | ผู้ | ฟ้อน | เป็น | หญิงสาว | ถือ | เทียน | จุดไฟ | ข้าง | ละ | หนึ่ง | เล่ม |   | ร่ายรำ | ไป | ตาม | ทำนองเพลง |   | นิยม | แสดง | ใน | เวลา | กลางคืน |   | เพื่อให้ | เห็น | การเคลื่อนไหว | ของ | เปลว | เทียน | ได้ | ชัดเจน
43,ฟ้อนผาง,เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย ผู้แสดงออกมาร่ายรำพร้อมถือภาชนะดินเผาจุดไฟเรียกว่าผางประทีปทั้งสองมือ นิยมจัดแสดงในงานประเพณีสำคัญของชาวล้านนามาแต่ครั้งโบราณ,เป็น | การแสดง | นาฏศิลป์ | พื้นบ้าน | ของ | ชาว | ล้านนา | ทาง | ภาคเหนือ | ของ | ไทย |   | ผู้แสดง | ออกมา | ร่ายรำ | พร้อม | ถือ | ภาชนะดินเผา | จุดไฟ | เรียก | ว่า | ผางประทีป | ทั้งสอง | มือ |   | นิยม | จัดแสดง | ใน | งาน | ประเพณี | สำคัญ | ของ | ชาว | ล้านนา | มา | แต่ | ครั้ง | โบราณ
44,ฟ้อนมาลัย,เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำฟ้อนชุดนี้ออกเพลงซุ้มซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,เป็น | เพลง | เก่า | ของ | ราชสำนัก | เชียงใหม่ |   | เจ้าดารารัศมี | พระชายา | ใน | พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว |   | ได้ | ทรง | นำมาใช้ | ใน | ละคร | เรื่อง |   | “ | น้อยใจยา | ” |   | เมื่อ | กรมศิลปากร | แสดง | ละครพันทาง | เรื่อง |   | “ | พญาผานอง | ” |   | ณ |   | โรงละครแห่งชาติ |   | เมื่อ |   | พ.ศ. |   | 2501 |   | อาจารย์ | มนตรี ตราโมท |   | ได้ | นำ | ทำนอง | เพลงฟ้อนดวงดอกไม้ | มา | ใช้ | เป็น | เพลง | ฟ้อน | ของ | นาง | ข้าหลวง | ของ | นางพญาคำปิน |   | โดย | ได้ | แต่ง | บทร้อง | ขึ้น | มา | ใหม่ |   | และ | ท่านผู้หญิงแผ้ว สนิทวงศ์เสนี |   | ประดิษฐ์ | ท่า | รำ | ฟ้อน | ชุด | นี้ | ออก | เพลงซุ้ม | ซึ่ง | เป็น | เพลงสำเนียงลาว | ชั้นเดียว
45,ฟ้อนรัก,เป็นการแสดงชุดหนึ่งในละครพันทางเรื่องพระลอ ตอน พระลอลงสวน พระนิพนธ์ของพระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์ ที่ทรงปรับปรุงขึ้นจากวรรณคดีลิลิตพระลอ บทร้องและลีลาท่ารำแสดงถึงความรักของนายแก้วนายขวัญสองพระพี่เลี้ยงของพระลอกษัตริย์แห่งแมนสรวง กับนางรื่นนางโรยพระพี่เลี้ยงของพระเพื่อนพระแพง พระราชธิดาของท้าวพิชัยพิษณุกรแห่งเมืองสรอง,เป็น | การแสดง | ชุด | หนึ่ง | ใน | ละครพันทาง | เรื่อง | พระลอ |   | ตอน |   | พระลอ | ลง | สวน |   | พระนิพนธ์ | ของ | พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์ |   | ที่ | ทรง | ปรับปรุง | ขึ้น | จาก | วรรณคดี | ลิลิตพระลอ |   | บทร้อง | และ | ลีลา | ท่า | รำ | แสดงถึง | ความรัก | ของ | นายแก้ว | นายขวัญ | สอง | พระพี่เลี้ยง | ของ | พระลอ | กษัตริย์ | แห่ง | แมนสรวง |   | กับ | นางรื่น | นางโรย | พระพี่เลี้ยง | ของ | พระเพื่อน | พระแพง |   | พระราชธิดา | ของ | ท้าวพิชัยพิษณุกร | แห่ง | เมือง | สรอง
46,ฟ้อนเล็บ,เป็นศิลปะการฟ้อนของทางภาคเหนือของไทย นิยมจัดแสดงในการต้อนรับแขกผู้มาเยือนให้เกิดความประทับใจผู้แสดงสวมเล็บสีทองร่ายรำตามรูปแบบการฟ้อนประกอบบทร้องและทำนองเพลง,เป็น | ศิลปะ | การ | ฟ้อน | ของ | ทาง | ภาคเหนือ | ของ | ไทย |   | นิยม | จัดแสดง | ใน | การ | ต้อนรับแขก | ผู้มาเยือน | ให้ | เกิด | ความประทับใจ | ผู้แสดง | สวม | เล็บ | สีทอง | ร่ายรำ | ตาม | รูปแบบ | การ | ฟ้อน | ประกอบ | บทร้อง | และ | ทำนองเพลง
47,ฟ้อนสาวไหม,เป็นศิลปะการฟ้อนของทางภาคเหนือ มีลีลาท่ารำสื่อความหมายถึงกรรมวิธีการทอผ้าไหม เริ่มด้วยขั้นตอนการปลูกต้นหม่อน เก็บฝ้าย สาวไหม และทอผ้า มีรูปแบบการฟ้อนรำตามทำนองเพลงในจังหวะช้า ใช้เครื่องดนตรีพื้นบ้านภาคเหนือ เช่น สะล้อ ซอ ซึง,เป็น | ศิลปะ | การ | ฟ้อน | ของ | ทาง | ภาคเหนือ |   | มี | ลีลา | ท่า | รำ | สื่อ | ความ | หมายถึง | กรรมวิธี | การทอ | ผ้าไหม |   | เริ่ม | ด้วย | ขั้นตอน | การ | ปลูก | ต้น | หม่อน |   | เก็บ | ฝ้าย |   | สาว | ไหม |   | และ | ทอผ้า |   | มี | รูปแบบ | การฟ้อนรำ | ตาม | ทำนองเพลง | ใน | จังหวะ | ช้า |   | ใช้ | เครื่อง | ดนตรีพื้นบ้าน | ภาคเหนือ |   | เช่น |   | สะล้อ |   | ซอ |   | ซึง
48,ระบำเก็บใบชา,เป็นการแสดงทางภาคเหนือมีลีลาท่ารำที่สื่อความหมายถึงกรรมวิธีการเก็บใบชาของชาวเขา เริ่มตั้งแต่ช่วงเช้าออกเดินทางไปเก็บใบชาที่ปลูกอยู่ตามไหล่เขา ต่อจากนั้นนำมาเลือกใบและผึ่งแดด มีการละเล่นที่สนุกสนานรื่นเริงขณะรอใบชาแห้ง ช่วงเย็นจึงเก็บใบชาและเดินทางกลับบ้าน ผู้แสดงชายหญิงแต่งกายแบบชาวพื้นเมืองภาคเหนือของไทย,เป็น | การแสดง | ทาง | ภาคเหนือ | มี | ลีลา | ท่า | รำ | ที่ | สื่อ | ความ | หมายถึง | กรรมวิธี | การเก็บใบชา | ของ | ชาวเขา |   | เริ่ม | ตั้งแต่ | ช่วง | เช้า | ออกเดินทาง | ไป | เก็บ | ใบชา | ที่ | ปลูก | อยู่ | ตาม | ไหล่เขา |   | ต่อจากนั้น | นำมา | เลือก | ใบ | และ | ผึ่งแดด |   | มี | การละเล่น | ที่ | สนุกสนาน | รื่นเริง | ขณะ | รอ | ใบชา | แห้ง |   | ช่วง | เย็น | จึง | เก็บ | ใบชา | และ | เดินทาง | กลับบ้าน |   | ผู้แสดง | ชาย | หญิง | แต่งกาย | แบบ | ชาวพื้นเมือง | ภาคเหนือ | ของ | ไทย
49,กระทบสากหรือกระทบไม้,เป็นการละเล่นพื้นเมืองของชาวจังหวัดสุรินทร์ภาคอีสานของไทย เดิมเรียกว่า “เต้นสาก” ด้วยนิสัยรักสนุกของชาวไทยเมื่อเสร็จกิจวัตรจากการทำนา จึงนำสากตำข้าวมากระทบกัน เป็นเครื่องประกอบจังหวะพร้อมกับมีการละเล่นให้เข้ากับจังหวะ เป็นการแสดงที่สนุกสนานระหว่างชายหญิงเกี้ยวพาราสีกัน สื่อให้เห็นความงามของพระจันทร์ยามค่ำคืน ทำให้เกิดความเพลิดเพลินใจ ชายหญิงจึงชวนกันมาเชื่อมความสัมพันธ์ด้วยการเล่นกระทบไม้,เป็น | การละเล่นพื้นเมือง | ของ | ชาว | จังหวัด | สุรินทร์ | ภาคอีสาน | ของ | ไทย |   | เดิม | เรียก | ว่า |   | “ | เต้นสาก | ” |   | ด้วย | นิสัย | รักสนุก | ของ | ชาวไทย | เมื่อ | เสร็จ | กิจวัตร | จาก | การ | ทำนา |   | จึง | นำ | สากตำข้าว | มา | กระทบ | กัน |   | เป็น | เครื่องประกอบจังหวะ | พร้อมกับ | มี | การละเล่น | ให้ | เข้ากับ | จังหวะ |   | เป็น | การแสดง | ที่ | สนุกสนาน | ระหว่าง | ชาย | หญิง | เกี้ยวพาราสี | กัน |   | สื่อ | ให้ | เห็น | ความงาม | ของ | พระจันทร์ | ยามค่ำคืน |   | ทำให้เกิด | ความเพลิดเพลิน | ใจ |   | ชาย | หญิง | จึง | ชวน | กัน | มา | เชื่อม | ความสัมพันธ์ | ด้วย | การ | เล่น | กระทบไม้
50,เซิ้งกระติบข้าว,เป็นการแสดงพื้นเมืองของชาวภูไท นิยมแสดงกันในโอกาสรื่นเริงวันนักขัตฤกษ์ การแสดงสื่อถึงหญิงสาวนำอาหารไปให้แก่บุคคลอันเป็นที่รัก ความสวยงามของกระบวนท่ารำอยู่ที่กิริยาท่าทางการเดินของหญิงสาวทั้งแบบช้าแล้วเร่งรีบ การดีดข้าวเหนียว การปั้นข้าวเหนียว,เป็น | การแสดงพื้นเมือง | ของ | ชาวภูไท |   | นิยม | แสดง | กัน | ใน | โอกาส | รื่นเริง | วัน | นักขัตฤกษ์ |   | การแสดง | สื่อ | ถึง | หญิงสาว | นำ | อาหาร | ไป | ให้ | แก่ | บุคคล | อันเป็น | ที่รัก |   | ความสวยงาม | ของ | กระบวนท่ารำ | อยู่ | ที่ | กิริยาท่าทาง | การ | เดิน | ของ | หญิงสาว | ทั้ง | แบบ | ช้า | แล้ว | เร่งรีบ |   | การดีด | ข้าวเหนียว |   | การปั้น | ข้าวเหนียว
