item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
ฟ้อนสาวไหม,"ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ","การปั้น, ชาวเหนือ, ดนตรีพื้นบ้าน, ตารี, ทอผ้า, ผ้าไหม, พื้นบ้านภาคใต้, ภาคเหนือ, มโนราห์, สะล้อ, สีน้ำเงิน, อาสา, อเนก, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",5,11,0,"การปั้น, ชาวเหนือ, ตารี, พื้นบ้านภาคใต้, มโนราห์, สีน้ำเงิน, อาสา, อเนก, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
ระบำเก็บใบชา,"การเก็บใบชา, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา","การปั้น, การเก็บใบชา, การเดินทาง, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ชาวเหนือ, ทะเล, ธงไทย, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, วานร, สีน้ำเงิน, สีแดง, แหล่งน้ำ, ใบชา, ไทยทรงดำ, ไหล่เขา",8,11,0,"การปั้น, การเดินทาง, งานรื่นเริง, ชาวเหนือ, ทะเล, ธงไทย, วานร, สีน้ำเงิน, สีแดง, แหล่งน้ำ, ไทยทรงดำ",
กระทบสากหรือกระทบไม้,"กระทบไม้, ชาวไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, เครื่องประกอบจังหวะ, เต้นสาก","กระทบไม้, การเกี้ยวพาราสี, ชาวพื้นเมือง, ชาวไทย, ตำรา, ทะเล, ธงไทย, นิสัย, พระจันทร์, พระอินทร์, ภาคอีสาน, รจนา, วานร, สากตำข้าว, สีน้ำเงิน, สีแดง, สุรินทร์, อสูร, อาสา, อีสาน, เครื่องประกอบจังหวะ, เครื่องประดับ, เต้นสาก, แหล่งน้ำ",9,15,0,"การเกี้ยวพาราสี, ชาวพื้นเมือง, ตำรา, ทะเล, ธงไทย, พระอินทร์, รจนา, วานร, สีน้ำเงิน, สีแดง, อสูร, อาสา, อีสาน, เครื่องประดับ, แหล่งน้ำ",
เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, ชาวภูไท, ที่รัก, หญิงสาว","กระบวนท่ารำ, การดีด, การปั้น, การเดินทาง, ข้าวเหนียว, งานรื่นเริง, ชาวนา, ชาวพื้นเมือง, ชาวภูไท, ตารี, ที่รัก, ท่าทาง, นนทก, สีน้ำเงิน, สีแดง, หญิงสาว, อาสา, แหล่งน้ำ, ใบชา",7,12,0,"การเดินทาง, งานรื่นเริง, ชาวนา, ชาวพื้นเมือง, ตารี, ท่าทาง, นนทก, สีน้ำเงิน, สีแดง, อาสา, แหล่งน้ำ, ใบชา",
เซิ้งตังหวาย,"การขับร้อง, ลำตังหวาย, แม่น้ำโขง","กะลา, การขับร้อง, การจับปลา, ตารี, ธงไทย, มโนราห์, รจนา, ลำตังหวาย, สังสรรค์, สีน้ำเงิน, สีแดง, แม่น้ำโขง, แหล่งน้ำ",3,10,0,"กะลา, การจับปลา, ตารี, ธงไทย, มโนราห์, รจนา, สังสรรค์, สีน้ำเงิน, สีแดง, แหล่งน้ำ",
เซิ้งไทภูเขา,"การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา","การเก็บใบชา, การเดินทาง, ขอขมา, จิตรกรรม, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, สีแดง, หน่อไม้, อสูร, อาสา, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, เมขลา, แหล่งน้ำ, ไทภูเขา",12,7,0,"การเก็บใบชา, จิตรกรรม, สีแดง, อสูร, อาสา, เมขลา, แหล่งน้ำ",
เซิ้งโปงลาง,"ชายหนุ่ม, ผู้แสดง, สังสรรค์, หญิงสาว, เครื่องดนตรี, โปงลาง","การเกี้ยวพาราสี, ชายหนุ่ม, ตารี, นนทก, ผู้แสดง, มารดา, วานร, สังสรรค์, สีแดง, หญิงสาว, เครื่องดนตรี, เครื่องดนตรีตะวันตก, แหล่งน้ำ, โปงลาง",6,8,0,"การเกี้ยวพาราสี, ตารี, นนทก, มารดา, วานร, สีแดง, เครื่องดนตรีตะวันตก, แหล่งน้ำ",
เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, ผู้แสดง, สัตว์น้ำ, หยอกล้อ","กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, การปั้น, ความสำนึก, ชาวพื้นเมือง, ตารี, ท่าทาง, นนทก, ผู้แสดง, พาลี, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หยอกล้อ, แหล่งน้ำ",5,12,0,"การประกอบอาชีพ, การปั้น, ความสำนึก, ชาวพื้นเมือง, ตารี, ท่าทาง, นนทก, พาลี, ภาคตะวันออกเฉียงเหนือ, สีน้ำเงิน, สีแดง, แหล่งน้ำ",
ฟ้อนภูไท,"กาฬสินธุ์, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง","การยุติ, การรบ, กาฬสินธุ์, งานรื่นเริง, ชาวภูไท, ดินแดน, นครพนม, นนทก, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีน้ำเงิน, สีแดง, อาสา, เทือกเขาภูพาน, แม่น้ำโขง, แหล่งน้ำ, ไทยทรงดำ",10,9,0,"การยุติ, การรบ, งานรื่นเริง, นนทก, สัตว์น้ำ, สีน้ำเงิน, อาสา, แหล่งน้ำ, ไทยทรงดำ",
ฟ้อนภูไท 3 เผ่า,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, เทือกเขาภูพาน","การปั้น, การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, มโนราห์, วานร, สกลนคร, สมัยโบราณ, สีทอง, สีแดง, อสูร, เชิงมวย, เทือกเขาภูพาน",9,8,0,"การปั้น, มโนราห์, วานร, สมัยโบราณ, สีทอง, สีแดง, อสูร, เชิงมวย",
ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น","กะลา, การขับร้อง, การปั้น, การรบ, ความสำนึก, ดนตรีพื้นบ้าน, ตารี, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หมากกั๊บแก๊บ, หยอกล้อ, อาสา, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ, ไม้ยาว, ไม้สั้น",9,13,0,"กะลา, การปั้น, การรบ, ความสำนึก, ตารี, ลำเพลิน, สัตว์น้ำ, สีน้ำเงิน, สีแดง, หมากกั๊บแก๊บ, อาสา, เครื่องดนตรีพื้นบ้าน, แหล่งน้ำ",
การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์","กรุงลงกา, กองทัพ, กะลา, การขึ้นลอย, การปั้น, การยุติ, การรบ, การแปร, การไถ, ชั้นเชิง, ตัวต่อตัว, ทศกัณฐ์, พระยา, พระราม, พระลอ, พระลักษมณ์, รำลึก, วานร, สงคราม, สีน้ำเงิน, สีแดง, องคต, ไพร่พล",8,15,0,"กะลา, การปั้น, การยุติ, การแปร, การไถ, ตัวต่อตัว, พระยา, พระลอ, รำลึก, วานร, สงคราม, สีน้ำเงิน, สีแดง, องคต, ไพร่พล",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระราม, พระเมรุ, พลลิง, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู","กรุงลงกา, การปั้น, การยุติ, การรบ, การแปร, การไถ, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระยา, พระราม, พระเมรุ, พลลิง, มโนราห์, รจนา, วานร, วิดน้ำ, สมควร, สำเภา, สีน้ำเงิน, สีแดง, อาสา, เจ้าเมือง, เมืองขีดขิน, เมืองชมพู, ไพร่พล",14,14,0,"การปั้น, การยุติ, การรบ, การแปร, การไถ, ขีดขิน, พระยา, มโนราห์, รจนา, วานร, สีน้ำเงิน, สีแดง, เจ้าเมือง, ไพร่พล",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"นนทก, นิ้วเพชร, พระนารายณ์, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา","กะลา, การปั้น, การยุติ, การรบ, การแปร, การไถ, ที่รัก, นนทก, นิ้วเพชร, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, มโนราห์, รจนา, รับใช้, วานร, สีน้ำเงิน, สีแดง, องคต, เขาไกรลาส, เขาไกลลาศ, เทวดา",7,17,0,"กะลา, การปั้น, การยุติ, การรบ, การแปร, การไถ, ที่รัก, พระยา, พระลอ, พระศิวะ, มโนราห์, รจนา, วานร, สีน้ำเงิน, สีแดง, องคต, เขาไกรลาส",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, ทศกัณฐ์, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, ทศกัณฐ์, พญาขร, พระพรหม, พระยา, พระราม, พิเภก, มังกรกัณฐ์, สีน้ำเงิน, สีแดง, องคต, อนุชา, อุบาย, อุษา, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส",12,11,0,"การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, พระยา, สีน้ำเงิน, สีแดง, องคต, อุษา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว","กรุงลงกา, กองทัพ, การปั้น, การยุติ, การรบ, การแปร, การให้กำเนิด, การไถ, กุณฑล, ขนเพชร, จำกาย, ฉลองพระองค์, ตารี, ตำรา, ทหารเอก, นางสวาหะ, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, มโนราห์, รจนา, รับใช้, วานร, สวามิภักดิ์, สวามี, สีน้ำเงิน, สีแดง, หนุมาน, องคต, อวตาร, อาสา, เขี้ยวแก้ว",21,19,0,"การปั้น, การยุติ, การรบ, การแปร, การไถ, ฉลองพระองค์, ตารี, ตำรา, นางสวาหะ, พระยา, พระลอ, พระศิวะ, มโนราห์, รจนา, สวามี, สีน้ำเงิน, สีแดง, องคต, อาสา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สัจจะ, หอกโมกขศักดิ์, อนุชา, อุปราช","กรุงลงกา, การยุติ, การรบ, การศึก, การุณราช, การแปร, การไถ, กุมภกรรณ, ขับไล่, จารึก, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, มรกต, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, สีแดง, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช, อเนก, แหล่งน้ำ, ไทยทรงดำ",17,15,0,"การยุติ, การรบ, การุณราช, การแปร, การไถ, จารึก, พระยา, มรกต, สงคราม, สีน้ำเงิน, สีแดง, อาสา, อเนก, แหล่งน้ำ, ไทยทรงดำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กะลา, การศึก, จุดไฟ, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, ร้อนแรง, สมบัติ, สะเดาะเคราะห์, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา","กรุงลงกา, กะลา, การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, ขับไล่, จารึก, จุดไฟ, ชาวเหนือ, ตะวันตก, ตารี, ตำรา, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, นางใน, น้ำมันยาง, ปราชัย, พญาขร, พระญาติ, พระยา, พระราม, พระลอ, พระลาน, พลลิง, พิเภก, ภาคเหนือ, รัชฎา, รับใช้, ราชสำนัก, ร้อนแรง, ร้ายกาจ, สมบัติ, สวามี, สะเดาะเคราะห์, สำมนักขา, สีน้ำเงิน, สีแดง, ออกรบ, เจ้าเมือง, แหล่งน้ำ, ให้ร้าย, ไฟไหม้, ไส้กะลา",23,26,0,"การปั้น, การยุติ, การรบ, การแปร, การไถ, ขับไล่, จารึก, ชาวเหนือ, ตะวันตก, ตารี, ตำรา, นางใน, พญาขร, พระยา, พระลอ, พลลิง, ภาคเหนือ, รัชฎา, ราชสำนัก, ร้ายกาจ, สวามี, สีน้ำเงิน, สีแดง, ออกรบ, เจ้าเมือง, แหล่งน้ำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะเคราะห์, เบญกาย","กรุงลงกา, กองทัพ, การยุติ, การรบ, การศึก, การแปร, การไถ, ทศกัณฐ์, ทำนาย, นางสีดา, บิดา, พระพรหม, พระยา, พระราม, พลับพลา, พิเภก, ย่านาง, วานร, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, สีแดง, เบญกาย, แปลงกาย, แหล่งน้ำ",11,14,0,"การยุติ, การรบ, การศึก, การแปร, การไถ, บิดา, พระพรหม, พระยา, ย่านาง, วานร, สีน้ำเงิน, สีแดง, แปลงกาย, แหล่งน้ำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราม, มารีศ, แปลงกาย","กวางทอง, กากนาสูร, การยุติ, การรบ, การแปร, การไถ, กาลสูร, ตารี, ทศกัณฐ์, นางสีดา, พระพาย, พระยา, พระราม, มารีศ, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม, องคต, อสูร, อุบาย, อุษา, แปลงกาย, ไทยทรงดำ",8,16,0,"การยุติ, การรบ, การแปร, การไถ, กาลสูร, ตารี, พระพาย, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม, องคต, อสูร, อุบาย, อุษา, ไทยทรงดำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา","กรุงลงกา, กวางทอง, การยุติ, การรบ, การแปร, การไถ, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ตารี, ทศกัณฐ์, นางสีดา, พระยา, พระราม, พระลอ, พระลักษมณ์, มารีศ, ราชสำนัก, รำลึก, ฤาษี, สำมนักขา, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม",12,13,0,"การยุติ, การรบ, การแปร, การไถ, ตารี, พระยา, พระลอ, ราชสำนัก, รำลึก, สีทอง, สีน้ำเงิน, สีแดง, หล่อหลอม",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พระราม, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล","กองทัพ, กะลา, การปั้น, การยุติ, การรบ, การศึก, การุณราช, การแปร, การไถ, กาลสูร, ช้างเอราวัณ, ตารี, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระจันทร์, พระยา, พระราม, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, มังกรกัณฐ์, รุทการ, วานร, สังหาร, สิ้นชีวิต, สีน้ำเงิน, สีแดง, สุรินทร์, หลงกล, อสูร, อาสา, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, แหล่งน้ำ, ไพร่พล",18,21,0,"กะลา, การปั้น, การยุติ, การรบ, การศึก, การแปร, การไถ, ตารี, พรหมาสตร์, พระจันทร์, พระยา, พระลอ, พระศิวะ, พระอิศวร, วานร, สีน้ำเงิน, สีแดง, สุรินทร์, อสูร, อาสา, แหล่งน้ำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระราม, มารดา, รัชฎา, รับอาสา, หายตัว, เจ้าเมือง, โอรส","กรุงลงกา, การยุติ, การรบ, การศึก, การแปร, การไถ, จับนาง, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระยา, พระราม, มารดา, รัชฎา, รับอาสา, รำคู่, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, สีแดง, หายตัว, องคต, อสูร, อาสา, เจ้าเมือง, แหล่งน้ำ, โอรส, ไทยทรงดำ",17,19,0,"การยุติ, การรบ, การศึก, การแปร, การไถ, จับนาง, พระยา, รำคู่, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ, ไทยทรงดำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส","การยุติ, การรบ, การศึก, การแปร, การไถ, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ตัวพระ, ทศกัณฐ์, ทำนาย, พระยา, พระราม, พระลอ, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รจนา, รับอาสา, รำลึก, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, สีน้ำเงิน, สีแดง, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, เมืองชมพู, โอรส, ไทยทรงดำ",20,16,0,"การยุติ, การรบ, การศึก, การแปร, การไถ, ตัวพระ, ทำนาย, พระยา, พระลอ, รจนา, รำลึก, สีน้ำเงิน, สีแดง, อาสา, เมืองชมพู, ไทยทรงดำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, พระราม, ฟองน้ำ, ภูเขา, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา","กะลา, การยุติ, การรบ, การศึก, การแปร, การไถ, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, ทอผ้า, ท้าวสัทธาสูร, บิดา, พญาทูษณ์, พระจันทร์, พระยา, พระราม, พาลี, ฟองน้ำ, ภูเขา, รจนา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, สีน้ำเงิน, สีแดง, สุรินทร์, หนุมาน, หลบหนี, อสูร, อุบาย, อุษา, เขาสัตภัณฑ์, เทวดา",17,20,0,"กะลา, การยุติ, การรบ, การศึก, การแปร, การไถ, ทอผ้า, ท้าวสัทธาสูร, บิดา, พญาทูษณ์, พระจันทร์, พระยา, พาลี, รจนา, วานร, สีน้ำเงิน, สีแดง, สุรินทร์, อสูร, อุษา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, เอาชนะ","การยุติ, การรบ, การแปร, การไถ, กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สีน้ำเงิน, สีแดง, สุครีพ, หนุมาน, หมดแรง, องคต, อสูร, อุบาย, อุษา, อเนก, เอาชนะ",9,10,0,"การยุติ, การรบ, การแปร, การไถ, สีน้ำเงิน, สีแดง, อสูร, อุบาย, อุษา, อเนก",
กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","กระบวนท่ารำ, กินรี, ตารี, ที่รัก, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, สีน้ำเงิน, สีแดง, เล่นน้ำ, แหล่งน้ำ, ใบชา",6,7,0,"ตารี, ที่รัก, บูชายัญ, สีน้ำเงิน, สีแดง, แหล่งน้ำ, ใบชา",
เมขลา รามสูร,"จำกาย, ดวงแก้ว, ตำนาน, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา","การเดินทาง, การไถ, จับนาง, ชาวเหนือ, ดวงแก้ว, ตารี, ตำนาน, ตำรา, ทะเล, ธงไทย, นนทก, นางฟ้า, บิดา, มูลเหตุ, มโนราห์, รามสูร, ฤดูฝน, วสันตฤดู, วานร, สีทอง, สีน้ำเงิน, สีแดง, องคต, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา, แหล่งน้ำ, ไทยทรงดำ",13,18,1,"การเดินทาง, การไถ, จับนาง, ชาวเหนือ, ตารี, ตำรา, ทะเล, ธงไทย, นนทก, บิดา, มโนราห์, วานร, สีทอง, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ, ไทยทรงดำ",จำกาย
รจนาเสี่ยงพวงมาลัย,"บุปเพสันนิวาส, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ","ตารี, นางใน, บุปเพสันนิวาส, พระลอ, พระสวามี, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, สีทอง, สีแดง, เจ้าหญิง, เจ้าเงาะ, แหล่งน้ำ, ไทยทรงดำ",10,8,0,"ตารี, นางใน, พระลอ, พระสวามี, สีทอง, สีแดง, แหล่งน้ำ, ไทยทรงดำ",
ระบำกฤดาภินิหาร,"ผู้แสดง, สวัสดิมงคล, เกียรติศักดิ์ไทย, เทพธิดา, เทพบุตร","กรมศิลปากร, การยุติ, การรบ, นางฟ้า, นางสีดา, มลายู, รจนา, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, องคต, อาสา, อเนก, เกียรติศักดิ์ไทย, เทวดา, แหล่งน้ำ",1,16,4,"กรมศิลปากร, การยุติ, การรบ, นางฟ้า, นางสีดา, มลายู, รจนา, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, องคต, อาสา, อเนก, เทวดา, แหล่งน้ำ","ผู้แสดง, สวัสดิมงคล, เทพธิดา, เทพบุตร"
ระบำกินรีร่อน,"กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส, เล่นน้ำ","กะลา, การรบ, กินรี, ทะเล, ผู้หญิง, พลลิง, มโนราห์, สระอโนดาต, อเนก, เขาไกรลาส, เขาไกลลาศ, เล่นน้ำ, แหล่งน้ำ, ไทยทรงดำ",5,9,0,"กะลา, การรบ, ทะเล, พลลิง, มโนราห์, อเนก, เขาไกลลาศ, แหล่งน้ำ, ไทยทรงดำ",
ระบำฉิ่ง,"ผู้แสดง, รัวฉิ่ง","กระทบไม้, ตารี, ผู้แสดง, รัวฉิ่ง, สีแดง, องคต, อเนก, เครื่องดนตรี, แหล่งน้ำ, ไทยทรงดำ",2,8,0,"กระทบไม้, ตารี, สีแดง, องคต, อเนก, เครื่องดนตรี, แหล่งน้ำ, ไทยทรงดำ",
ระบำชุดไทยพระราชนิยม,"ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น","ฉลองพระองค์, ตารี, ธงไทย, พระบรมราชชนนีพับปีหลวง, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, มวยไทย, รจนา, สังสรรค์, สุรินทร์, องคต, แหล่งน้ำ, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยทรงดำ, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น",10,14,0,"ตารี, ธงไทย, พระยา, พระราม, พระลอ, พระศิวะ, พระอิศวร, มวยไทย, รจนา, สังสรรค์, สุรินทร์, องคต, แหล่งน้ำ, ไทยทรงดำ",
ระบำดาวดึงส์,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร","การปั้น, จับระบำ, ดาวดึงส์, ตำรา, ทิพยวิมาน, บิดา, ผู้แสดง, พระจันทร์, พระลอ, พระศิวะ, พระอินทร์, พระอิศวร, ระบำมาตรฐาน, รำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, สีทอง, สีแดง, สุรินทร์, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ, ไทยทรงดำ",10,13,0,"การปั้น, ตำรา, บิดา, พระจันทร์, พระลอ, พระศิวะ, พระอิศวร, รำมาตรฐาน, สีทอง, สีแดง, สุรินทร์, แต่งกายยืนเครื่องพระ, ไทยทรงดำ",
