item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กะลา, การศึก, จุดไฟ, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, ร้อนแรง, สมบัติ, สะเดาะเคราะห์, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา","กรุงลงกา, กะลา, การศึก, การแปร, ขับไล่, จารึก, จุดไฟ, ตะวันตก, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, นางใน, น้ำมันยาง, ปราชัย, พญาขร, พระญาติ, พระยา, พระราม, พระลอ, พระลาน, พลลิง, พิเภก, รัชฎา, รับใช้, ร้อนแรง, ร้ายกาจ, สมบัติ, สวามี, สะเดาะเคราะห์, สำมนักขา, ออกรบ, เจ้าเมือง, ให้ร้าย, ไฟไหม้, ไส้กะลา",23,14,0,"การแปร, ขับไล่, จารึก, ตะวันตก, นางใน, พญาขร, พระยา, พระลอ, พลลิง, รัชฎา, ร้ายกาจ, สวามี, ออกรบ, เจ้าเมือง",
การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะเคราะห์, เบญกาย","กรุงลงกา, กองทัพ, การยุติ, การศึก, การแปร, ทศกัณฐ์, ทำนาย, นางสีดา, พระยา, พระราม, พลับพลา, พิเภก, ย่านาง, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, เบญกาย, แปลงกาย, แหล่งน้ำ",11,8,0,"การยุติ, การศึก, การแปร, พระยา, ย่านาง, สีน้ำเงิน, แปลงกาย, แหล่งน้ำ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราม, มารีศ, แปลงกาย","กวางทอง, กากนาสูร, การแปร, กาลสูร, ทศกัณฐ์, นางสีดา, พระพาย, พระยา, พระราม, มารีศ, อุบาย, แปลงกาย",8,4,0,"การแปร, กาลสูร, พระพาย, อุบาย",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา","กรุงลงกา, กวางทอง, การแปร, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระยา, พระราม, พระลอ, พระลักษมณ์, มารีศ, รำลึก, ฤาษี, สำมนักขา, สีแดง",12,5,0,"การแปร, พระยา, พระลอ, รำลึก, สีแดง",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พระราม, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล","กองทัพ, การศึก, การุณราช, การแปร, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระยา, พระราม, พระลอ, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล",18,5,0,"การศึก, การแปร, พรหมาสตร์, พระยา, พระลอ",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระราม, มารดา, รัชฎา, รับอาสา, หายตัว, เจ้าเมือง, โอรส","กรุงลงกา, การศึก, การแปร, จับนาง, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระยา, พระราม, มารดา, รัชฎา, รับอาสา, รำคู่, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, หายตัว, อาสา, เจ้าเมือง, โอรส",17,11,0,"การศึก, การแปร, จับนาง, พระยา, รำคู่, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, อาสา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส","การรบ, การศึก, การแปร, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ตัวพระ, ทศกัณฐ์, ทำนาย, พระยา, พระราม, พระลอ, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, รำลึก, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส",20,9,0,"การรบ, การศึก, การแปร, ตัวพระ, ทำนาย, พระยา, พระลอ, รำลึก, อาสา",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, พระราม, ฟองน้ำ, ภูเขา, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา","การรบ, การศึก, การแปร, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, ทอผ้า, พระยา, พระราม, ฟองน้ำ, ภูเขา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา",17,6,0,"การรบ, การศึก, การแปร, ทอผ้า, พระยา, วานร",
การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, เอาชนะ","การแปร, กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, อุบาย, เอาชนะ",9,2,0,"การแปร, อุบาย",
กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","กระบวนท่ารำ, กินรี, ที่รัก, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ",6,2,0,"ที่รัก, บูชายัญ",
เมขลา รามสูร,"จำกาย, ดวงแก้ว, ตำนาน, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา","การเดินทาง, การไถ, จับนาง, ดวงแก้ว, ตำนาน, ทะเล, ธงไทย, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา",13,5,1,"การเดินทาง, การไถ, จับนาง, ทะเล, ธงไทย",จำกาย
รจนาเสี่ยงพวงมาลัย,"บุปเพสันนิวาส, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ","นางใน, บุปเพสันนิวาส, พระลอ, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ",10,2,0,"นางใน, พระลอ",
ระบำกฤดาภินิหาร,"ผู้แสดง, สวัสดิมงคล, เกียรติศักดิ์ไทย, เทพธิดา, เทพบุตร","กรมศิลปากร, การรบ, นางฟ้า, นางสีดา, ศุภลักษณ์, เกียรติศักดิ์ไทย, เทวดา",1,6,4,"กรมศิลปากร, การรบ, นางฟ้า, นางสีดา, ศุภลักษณ์, เทวดา","ผู้แสดง, สวัสดิมงคล, เทพธิดา, เทพบุตร"
ระบำกินรีร่อน,"กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส, เล่นน้ำ","การรบ, กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส, เล่นน้ำ",5,1,0,การรบ,
ระบำฉิ่ง,"ผู้แสดง, รัวฉิ่ง","ผู้แสดง, รัวฉิ่ง, เครื่องดนตรี",2,1,0,เครื่องดนตรี,
ระบำชุดไทยพระราชนิยม,"ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น","ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, พระยา, พระราม, พระลอ, มวยไทย, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยทรงดำ, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น",10,5,0,"พระยา, พระราม, พระลอ, มวยไทย, ไทยทรงดำ",
ระบำดาวดึงส์,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร","จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระลอ, พระอินทร์, ระบำมาตรฐาน, รำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",10,3,0,"พระลอ, รำมาตรฐาน, แต่งกายยืนเครื่องพระ",
ระบำเทพบันเทิง,"ผู้แสดง, ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร","ชาวนา, ผู้แสดง, ระบำมาตรฐาน, รำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",7,3,0,"ชาวนา, รำมาตรฐาน, แต่งกายยืนเครื่องพระ",
ระบำนพรัตน์,"ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์","ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์",8,0,0,,
ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, วานร, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส","กลยุทธ, กลางอากาศ, กองทัพ, การรบ, การศึก, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, นางใน, พรหมาสตร์, พระลอ, พระลักษมณ์, พระอินทร์, รำลึก, วานร, สงคราม, สีน้ำเงิน, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส",16,7,0,"การรบ, การศึก, นางใน, พระลอ, รำลึก, สงคราม, สีน้ำเงิน",
ระบำย่องหงิด,"กระบวนท่ารำ, การแปร, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา","กระบวนท่ารำ, การรบ, การแปร, งานรื่นเริง, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา",13,2,0,"การรบ, งานรื่นเริง",
ระบำวิชนี,"นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, หญิงสาว","ความสำนึก, นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, สำนึก, หญิงสาว",6,2,0,"ความสำนึก, สำนึก",
ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย","กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย, แหล่งน้ำ",9,1,0,แหล่งน้ำ,
รำซัดชาตรี,"รำคู่, ละครชาตรี, ละครใน, เบิกโรง, ไหว้ครู","การรบ, ตารี, ที่รัก, ผู้แสดง, รำคู่, รำพัด, ละครชาตรี, ละครใน, เบิกโรง, ไหว้ครู",5,5,0,"การรบ, ตารี, ที่รัก, ผู้แสดง, รำพัด",
รำเบิกโรงดอกไม้เงินทอง,"ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ","ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ",7,3,0,"พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ",
รำประเลง,"ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน","การรบ, ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, สิ่งศักดิ์สิทธิ์, หลงกล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน",17,3,0,"การรบ, สิ่งศักดิ์สิทธิ์, หลงกล",
รำฝรั่งคู่,"จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว","การรบ, จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, รำพัด, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, แต่งกายยืนเครื่องพระ",9,3,0,"การรบ, รำพัด, แต่งกายยืนเครื่องพระ",
รำพลายชุมพล,"ขุนช้าง, ขุนแผน, พระไวย, พลายชุมพล, รำเดี่ยว, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ","การรบ, การศึก, ขุนช้าง, ขุนแผน, ชุมพร, พระไวย, พลายชุมพล, รำเดี่ยว, ละครเสภา, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ",9,4,0,"การรบ, การศึก, ชุมพร, ละครเสภา",
รำมโนห์ราบูชายัญ,"กองไฟ, บินหนี, บูชายัญ, ผู้หญิง, รำเดี่ยว, เขาไกรลาส","กองไฟ, การรบ, บินหนี, บูชายัญ, ผู้หญิง, เขาไกรลาส",5,1,1,การรบ,รำเดี่ยว
รำแม่บท,"กระบวนท่ารำ, รำมาตรฐาน, แม่บท","กระบวนท่ารำ, การรบ, การศึก, จารึก, ระบำมาตรฐาน, รำมาตรฐาน, ล้านนา, แต่งกายยืนเครื่องพระ, แม่บท",3,6,0,"การรบ, การศึก, จารึก, ระบำมาตรฐาน, ล้านนา, แต่งกายยืนเครื่องพระ",
หนุมานจับนางเบญกาย,"จับนาง, ทศกัณฐ์, นางสีดา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, อุบาย, เบญกาย","การเกี้ยวพาราสี, การไถ, จับนาง, ทศกัณฐ์, นางสีดา, นางใน, พระยา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, หายตัว, อุบาย, เบญกาย",12,5,0,"การเกี้ยวพาราสี, การไถ, นางใน, พระยา, หายตัว",
หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, ก้อนหิน, จับนาง, นางสีดา, บริวาร, ผู้หญิง, พระราม, มหาสมุทร, มูลเหตุ, วานร, สุพรรณมัจฉา, หนุมาน","กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, การเดินทาง, การไถ, ก้อนหิน, จับนาง, ชาวนา, นางสีดา, บริวาร, ผู้หญิง, พระยา, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สุพรรณมัจฉา, หนุมาน",15,5,0,"การเดินทาง, การไถ, ชาวนา, พระยา, สัตว์น้ำ",
ระบำเซียงแสน,"ปูนปั้น, พุทธศตวรรษ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, ระบำโบราณคดี, โบราณสถาน","การปั้น, จิตรกรรม, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, มลายู, ระบำโบราณคดี, สี่ภาค, โบราณสถาน",6,5,0,"การปั้น, จิตรกรรม, ภาคตะวันออกเฉียงเหนือ, มลายู, สี่ภาค",
ระบำทวารวดี,"จิตรกรรม, ดินแดน, พุทธศตวรรษ, ระบำโบราณคดี, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ","การดีด, จิตรกรรม, ดินแดน, นิสัย, พุทธศตวรรษ, ระบำโบราณคดี, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ",7,2,0,"การดีด, นิสัย",
ระบำลพบุรี,"ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, ภาพจำหลัก, ระบำโบราณคดี, สมัยลพบุรี, หน้าบัน","การรบ, ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, ระบำโบราณคดี, สมัยลพบุรี, หน้าบัน",10,1,1,การรบ,ภาพจำหลัก
ระบำศรีวิชัย,"ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, ระบำโบราณคดี, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ","การรบ, ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, ระบำโบราณคดี, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ",12,2,0,"การรบ, มลายู",
ระบำสุโขทัย,"ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, ระบำโบราณคดี, สมัยสุโขทัย, หล่อสำริด","การปั้น, งานประติมากรรม, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, ระบำโบราณคดี, สมัยสุโขทัย, หล่อสำริด",7,2,0,"การปั้น, งานประติมากรรม",
ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, ความภาคภูมิใจ, ทศกัณฐ์, นางสีดา, พวงมาลัย","กรุงลงกา, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, สะล้อ",5,2,0,"ฉุยฉาย, สะล้อ",
ฉุยฉายเบญกาย,"การยุติ, ความภาคภูมิใจ, ทศกัณฐ์, นางสีดา, พระราม, สงคราม, อุบาย, เบญกาย, แปลงกาย","การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระยา, พระราม, สงคราม, สีน้ำเงิน, อุบาย, เบญกาย, แปลงกาย",9,3,0,"ฉุยฉาย, พระยา, สีน้ำเงิน",
ฉุยฉายพราหมณ์,"พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, มเหสี, เทพเจ้า, เบิกโรง, แปลงกาย","(ฮินดู, ฉุยฉาย, พระคเณศ, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, สีทอง, เทพเจ้า, เบิกโรง, แปลงกาย",8,7,0,"(ฮินดู, ฉุยฉาย, พระยา, พระลอ, พระศิวะ, พราหมณ์), สีทอง",
ฉุยฉายยอพระกลิ่น,"ความภาคภูมิใจ, ฉุยฉาย, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก","การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี",6,4,0,"การเดินทาง, พระลอ, ละครใน, สวามี",
ฉุยฉายวันทอง,"ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","การศึก, ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, สีน้ำเงิน, อุบาย, แปลงกาย",9,4,0,"การศึก, ฉุยฉาย, สีน้ำเงิน, อุบาย",
ฉุยฉายศูรปนขา,"ความภาคภูมิใจ, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, ศูรปนขา, แปลงกาย","การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระยา, พระราม, ยักษิณี, ศูรปนขา, สีน้ำเงิน, แปลงกาย",7,4,0,"การเกี้ยวพาราสี, ฉุยฉาย, พระยา, สีน้ำเงิน",
ฉุยฉายหนุมานทรงเครื่อง,"ทศกัณฐ์, ทหารเอก, พระราม, วานร, หนุมาน, อุบาย","การรบ, การเดินทาง, ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระยา, พระราม, วานร, สงคราม, สีน้ำเงิน, หนุมาน, อุบาย",6,6,0,"การรบ, การเดินทาง, ฉุยฉาย, พระยา, สงคราม, สีน้ำเงิน",
ชุมนุมฉุยฉาย,"ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ผู้แสดง","การรบ, ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ผู้แสดง, พราหมณ์), พลลิง, แต่งกายยืนเครื่องพระ",4,4,0,"การรบ, พราหมณ์), พลลิง, แต่งกายยืนเครื่องพระ",
กราววีรชัยลิง,"กองทัพ, กิริยาอาการ, ความคล่องแคล่ว, ซุกซน, ท่าทาง, พระราม, วานร, สิบแปดมงกุฎ","กราววีรชัยลิง, กองทัพ, การรบ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระยา, พระราม, วานร, สิบแปดมงกุฎ, สีน้ำเงิน",8,6,0,"กราววีรชัยลิง, การรบ, ความว่องไว, ต่อสู้, พระยา, สีน้ำเงิน",
